order_id,customer_id,order_date,order_status,payment_method,discount_amount,shipping_amount,total_amount,region
O000153,C00572,2025-05-15,completed,COD,20,4.99,155.43,South
O000154,C03276,2025-06-12,completed,Wallet,0,0.0,49.17,Central
O000155,C01473,2025-12-17,completed,Wallet,0,0.0,216.65,West
O000156,C01056,2026-02-18,completed,Bank Transfer,0,8.99,57.6,West
O000157,C04336,2024-08-23,completed,COD,10,8.99,178.96,East
O000158,C00412,2026-04-30,completed,Card,10,0.0,87.24,West
O000159,C02824,2025-03-30,completed,Wallet,10,4.99,227.16,South
O000160,C03896,2025-12-31,completed,COD,5,12.99,37.39,East
O000161,C04849,2025-08-28,completed,Bank Transfer,10,4.99,173.06,South
O000162,C02322,2025-05-20,completed,Wallet,10,4.99,240.4,East
O000163,C00862,2024-12-02,completed,Card,20,12.99,110.97,South
O000164,C02204,2024-11-16,completed,Wallet,0,4.99,104.96,Central
O000165,C03778,2025-12-16,completed,Wallet,0,12.99,130.06,West
O000166,C02623,2025-02-20,completed,COD,5,4.99,154.24,South
O000167,C04195,2024-12-15,completed,Bank Transfer,0,4.99,83.21,West
O000168,C03407,2024-07-05,completed,Wallet,0,12.99,60.11,West
O000169,C04792,2026-03-05,completed,COD,5,12.99,324.02,North
O000170,C03121,2025-04-15,completed,Bank Transfer,20,12.99,82.82,South
O000171,C00788,2025-03-11,completed,COD,0,0.0,102.01,Central
O000172,C00333,2025-03-29,cancelled,Bank Transfer,35,12.99,75.43,East
O000173,C02678,2025-09-10,completed,COD,20,0.0,162.88,East
O000174,C04750,2025-06-17,completed,Bank Transfer,5,12.99,63.59,West
O000175,C02015,2025-08-01,completed,COD,5,8.99,95.93,North
O000176,C00240,2025-01-19,completed,Wallet,10,0.0,211.01,North
O000177,C03029,2025-02-02,completed,Card,0,0.0,192.7,West
O000178,C03044,2026-03-21,shipped,Wallet,0,8.99,81.6,East
O000179,C00397,2025-05-17,completed,COD,0,12.99,108.67,North
O000180,C03175,2026-06-10,shipped,COD,0,0.0,51.37,West
O000181,C02369,2026-03-09,completed,Bank Transfer,0,4.99,108.56,West
O000182,C00811,2025-12-01,completed,Card,10,4.99,443.59,South
O000183,C00144,2025-08-04,completed,Wallet,0,12.99,183.93,West
O000184,C02985,2026-03-03,completed,Card,5,12.99,51.02,Central
O000185,C01547,2024-08-10,completed,Wallet,5,8.99,26.57,West
O000186,C01082,2025-06-29,completed,COD,5,4.99,52.11,North
O000187,C04107,2025-12-02,completed,Bank Transfer,10,4.99,45.52,West
O000188,C01425,2024-09-17,completed,Card,0,0.0,96.51,East
O000189,C02335,2024-11-11,completed,Wallet,35,12.99,272.23,East
O000190,C02906,2024-08-17,completed,Bank Transfer,0,8.99,97.38,East
O000191,C04256,2025-06-20,completed,COD,20,4.99,64.25,Central
O000192,C04524,2025-07-30,shipped,Wallet,5,8.99,83.03,East
O000193,C00290,2025-06-07,completed,COD,0,12.99,151.69,North
O000194,C01488,2024-08-10,completed,COD,10,4.99,120.65,East
O000195,C03500,2025-06-20,completed,COD,0,4.99,53.16,South
O000196,C03410,2026-04-09,completed,Wallet,0,8.99,184.66,North
O000197,C00299,2024-07-23,completed,Wallet,20,0.0,44.63,South
O000198,C01429,2026-01-17,completed,Wallet,0,4.99,114.69,North
O000199,C00776,2025-01-15,completed,COD,35,8.99,74.4,East
O000200,C00893,2024-08-24,completed,Card,20,8.99,91.23,South
O000201,C04018,2024-08-06,completed,Bank Transfer,0,12.99,46.36,West
O000202,C04988,2024-07-10,completed,Card,5,12.99,109.57,North
O000203,C00098,2025-04-29,completed,Card,10,0.0,42.04,West
O000204,C04386,2025-06-29,completed,Card,10,0.0,70.26,Central
O000205,C01902,2025-09-26,completed,Card,10,12.99,87.1,North
O000206,C04158,2024-08-29,completed,COD,0,8.99,53.98,West
O000207,C04681,2025-10-20,completed,Card,10,0.0,249.55,West
O000208,C02307,2025-12-22,completed,COD,0,12.99,85.51,East
O000209,C00776,2024-08-17,completed,Card,20,12.99,82.65,East
O000210,C00866,2025-11-05,completed,Bank Transfer,20,8.99,130.28,North
O000211,C04739,2024-09-25,completed,COD,0,12.99,32.17,West
O000212,C03868,2025-05-17,completed,COD,20,12.99,21.33,South
O000213,C00978,2025-10-26,cancelled,Card,5,4.99,87.19,South
O000214,C04260,2026-03-27,shipped,Bank Transfer,20,0.0,25.11,North
O000215,C01349,2025-07-23,completed,COD,5,4.99,132.96,North
O000216,C00370,2025-05-14,completed,Bank Transfer,0,0.0,137.41,West
O000217,C03190,2026-02-28,completed,Wallet,5,8.99,132.92,Central
O000218,C02752,2024-12-05,completed,Wallet,0,8.99,213.84,West
O000219,C00032,2024-11-27,completed,COD,0,4.99,106.02,Central
O000220,C02737,2025-06-06,completed,Card,35,0.0,254.27,South
O000221,C03545,2024-09-26,completed,Wallet,35,8.99,123.88,North
O000222,C01839,2024-07-17,completed,Wallet,5,8.99,241.02,South
O000223,C04517,2025-03-21,cancelled,Card,0,12.99,169.89,West
O000224,C01917,2024-10-20,completed,Wallet,20,0.0,89.2,East
O000225,C01779,2025-10-08,completed,Card,0,12.99,123.24,East
O000226,C03421,2025-08-04,completed,Bank Transfer,35,12.99,150.91,West
O000227,C03026,2025-06-20,completed,Card,5,4.99,20.0,West
O000228,C04673,2025-06-27,completed,Wallet,0,4.99,32.61,East
O000229,C01786,2024-09-10,completed,Card,10,8.99,286.38,East
O000230,C00612,2025-04-20,completed,Wallet,20,8.99,149.92,West
O000231,C03459,2024-08-21,completed,COD,10,8.99,206.88,East
O000232,C04801,2025-03-16,shipped,Bank Transfer,10,0.0,86.04,South
O000233,C02634,2025-11-07,completed,Card,0,12.99,297.8,West
O000234,C02923,2026-06-20,completed,Bank Transfer,0,8.99,90.0,Central
O000235,C02513,2025-02-02,completed,Wallet,20,12.99,149.06,North
O000236,C01808,2025-01-09,completed,Wallet,5,12.99,266.67,North
O000237,C00261,2025-11-01,completed,COD,10,4.99,197.72,South
O000238,C04996,2026-05-01,completed,Bank Transfer,10,8.99,44.99,East
O000239,C03308,2025-01-31,shipped,Bank Transfer,0,0.0,94.81,West
O000240,C03964,2026-03-03,completed,Wallet,0,8.99,126.8,Central
O000241,C02530,2025-02-15,shipped,COD,10,4.99,156.08,South
O000242,C01959,2025-10-10,completed,COD,35,4.99,225.48,West
O000243,C01604,2024-11-30,completed,Card,35,0.0,191.48,Central
O000244,C01109,2025-01-08,shipped,Bank Transfer,0,0.0,98.06,North
O000245,C02398,2026-06-18,completed,COD,5,12.99,83.26,East
O000246,C00646,2025-04-10,completed,Wallet,0,0.0,86.69,East
O000247,C01652,2024-07-12,completed,Bank Transfer,5,4.99,71.11,North
O000248,C04782,2026-01-14,completed,COD,5,8.99,68.46,Central
O000249,C01355,2024-10-01,completed,Card,0,4.99,203.94,West
O000250,C01462,2024-09-19,completed,Bank Transfer,35,12.99,114.46,East
O000251,C00606,2026-03-02,completed,COD,0,0.0,72.24,Central
O000252,C04495,2025-03-12,completed,Wallet,20,8.99,104.73,West
O000253,C01099,2024-10-09,completed,Bank Transfer,35,12.99,76.09,West
O000254,C04015,2026-06-12,completed,Bank Transfer,35,12.99,22.67,West
O000255,C00648,2025-01-21,completed,Card,10,8.99,158.29,West
O000256,C01544,2025-10-05,shipped,Card,10,0.0,212.54,West
O000257,C00050,2025-01-08,completed,COD,0,4.99,188.38,East
O000258,C03200,2025-08-28,completed,Wallet,0,4.99,180.8,North
O000259,C03688,2025-11-21,completed,COD,35,12.99,51.74,East
O000260,C04397,2026-01-04,completed,COD,0,8.99,243.33,West
O000261,C00472,2025-04-26,completed,Bank Transfer,5,0.0,66.03,West
O000262,C04168,2025-09-23,completed,Wallet,0,0.0,36.59,South
O000263,C01974,2026-03-05,completed,COD,0,4.99,11.99,Central
O000264,C00527,2026-03-05,completed,Card,0,0.0,124.8,Central
O000265,C03237,2025-12-27,completed,COD,10,12.99,301.69,East
O000266,C01677,2025-04-18,completed,Wallet,10,0.0,225.03,North
O000267,C03538,2025-07-23,completed,COD,5,12.99,107.32,Central
O000268,C01995,2026-06-06,cancelled,Bank Transfer,0,12.99,199.85,East
O000269,C00383,2024-12-29,completed,Wallet,0,12.99,453.5,West
O000270,C04181,2025-11-17,cancelled,Bank Transfer,10,4.99,97.27,West
O000271,C04407,2026-01-29,completed,Wallet,0,0.0,145.28,West
O000272,C02866,2025-06-16,completed,Wallet,0,0.0,250.43,North
O000273,C00447,2026-03-24,completed,Wallet,0,0.0,37.69,West
O000274,C02448,2025-05-09,completed,Bank Transfer,0,12.99,40.74,West
O000275,C02566,2026-03-02,completed,Bank Transfer,5,8.99,276.58,West
O000276,C03869,2025-10-13,cancelled,Card,0,0.0,203.57,East
O000277,C04111,2024-08-07,completed,Bank Transfer,10,0.0,61.33,Central
O000278,C04747,2026-02-21,completed,Wallet,0,8.99,46.49,Central
O000279,C02288,2025-11-21,completed,Wallet,5,12.99,51.01,North
O000280,C03725,2024-12-10,completed,Card,35,0.0,148.87,South
O000281,C04998,2025-11-26,completed,COD,10,4.99,167.20000000000002,East
O000282,C01615,2025-07-08,shipped,COD,0,8.99,63.36,North
O000283,C03529,2026-05-19,completed,COD,0,8.99,41.98,West
O000284,C04712,2025-02-08,completed,Wallet,20,12.99,109.93,South
O000285,C01694,2025-01-09,completed,Card,0,12.99,37.66,South
O000286,C00708,2024-08-12,completed,Wallet,10,0.0,160.25,South
O000287,C00381,2026-01-25,completed,Wallet,0,8.99,229.72,West
O000288,C01296,2026-06-19,completed,Card,0,12.99,125.85,East
O000289,C04125,2025-11-15,completed,Card,35,8.99,247.58,West
O000290,C02593,2025-03-27,completed,COD,20,8.99,94.76,Central
O000291,C04352,2026-04-02,completed,Bank Transfer,0,0.0,55.58,West
O000292,C03316,2025-01-01,completed,Wallet,10,12.99,80.35,North
O000293,C03153,2025-11-18,completed,COD,5,0.0,32.25,Central
O000294,C00242,2025-09-09,completed,Wallet,0,8.99,66.03,Central
O000295,C01653,2026-03-14,completed,Bank Transfer,20,4.99,91.41,Central
O000296,C02413,2026-06-09,completed,COD,10,8.99,106.61,South
O000297,C02829,2025-03-20,completed,Wallet,35,4.99,207.12,North
O000298,C03659,2024-09-08,completed,Bank Transfer,0,12.99,256.5,East
O000299,C00013,2024-10-23,completed,COD,0,0.0,122.29,West
O000300,C03326,2025-12-21,completed,Card,0,4.99,54.83,West
O000301,C02086,2025-03-22,completed,COD,5,8.99,44.55,North
O000302,C04621,2024-10-10,completed,Wallet,35,8.99,66.98,East
O000303,C04931,2026-02-15,completed,COD,10,8.99,58.29,North
O000304,C00564,2025-10-16,completed,Bank Transfer,20,4.99,124.2,Central
O000305,C01065,2024-10-04,completed,Bank Transfer,35,4.99,47.03,East
O000306,C04100,2025-12-02,completed,Card,10,4.99,317.96,South
O000307,C03414,2025-10-09,completed,Card,5,0.0,185.94,West
O000308,C00234,2026-06-18,completed,Bank Transfer,0,12.99,212.12,Central
O000309,C00524,2026-06-20,completed,Bank Transfer,0,4.99,64.55,Central
O000310,C01209,2026-06-12,shipped,Card,5,8.99,47.02,East
O000311,C03649,2026-04-14,completed,Bank Transfer,20,4.99,61.65,North
O000312,C01260,2026-01-30,completed,Wallet,5,8.99,112.31,North
O000313,C02199,2025-11-02,completed,COD,5,4.99,126.74,Central
O000314,C04279,2025-08-02,completed,Wallet,5,12.99,243.64,South
O000315,C01703,2026-01-29,shipped,COD,10,8.99,272.9,East
O000316,C02711,2026-06-05,completed,Card,10,0.0,116.65,South
O000317,C02527,2024-09-23,completed,Card,5,12.99,32.6,North
O000318,C02771,2024-10-08,completed,Bank Transfer,5,0.0,84.4,North
O000319,C04093,2025-06-29,completed,COD,0,8.99,481.59,Central
O000320,C04596,2025-01-31,completed,Bank Transfer,0,8.99,34.31,North
O000321,C04191,2025-07-23,completed,Wallet,0,0.0,127.72,West
O000322,C02834,2025-02-12,completed,COD,35,12.99,61.35,Central
O000323,C01764,2026-01-22,completed,Wallet,10,4.99,347.14,Central
O000324,C04475,2026-04-16,completed,Card,0,4.99,135.75,South
O000325,C03164,2025-01-23,completed,COD,5,0.0,61.84,South
O000326,C03570,2026-01-15,cancelled,Bank Transfer,0,8.99,75.15,West
O000327,C01614,2024-09-16,cancelled,Card,10,4.99,18.58,West
O000328,C04752,2026-02-01,completed,Card,5,4.99,126.38,North
O000329,C02258,2025-11-21,completed,Card,10,4.99,157.48,North
O000330,C01312,2025-11-30,completed,Bank Transfer,10,8.99,90.926,North
O000331,C03281,2025-06-25,shipped,Wallet,0,4.99,158.83,South
O000332,C01230,2024-09-16,shipped,Card,0,0.0,270.52,West
O000333,C01278,2026-03-07,completed,Wallet,0,0.0,40.8,North
O000334,C01721,2024-09-18,completed,Bank Transfer,20,4.99,156.41,West
O000335,C01624,2025-06-17,completed,COD,0,4.99,159.08,North
O000336,C00547,2024-11-05,completed,COD,10,0.0,142.86,South
O000337,C00829,2026-03-09,completed,Bank Transfer,20,0.0,122.67,East
O000338,C04231,2025-08-23,completed,Card,5,0.0,72.98,North
O000339,C03007,2025-07-06,completed,Bank Transfer,0,0.0,17.83,Central
O000340,C01063,2025-02-17,completed,COD,10,4.99,133.6,North
O000341,C04227,2026-01-22,completed,Bank Transfer,0,12.99,184.07,East
O000342,C00089,2024-12-01,completed,Wallet,0,4.99,60.64,East
O000343,C04590,2025-12-08,shipped,Card,5,0.0,76.1,Central
O000344,C03757,2026-06-07,completed,COD,0,12.99,56.58,West
O000345,C04713,2025-01-10,completed,Bank Transfer,0,8.99,140.42,South
O000346,C02369,2025-11-13,completed,Card,10,8.99,155.13,South
O000347,C03897,2025-02-11,shipped,Bank Transfer,10,12.99,52.4,East
O000348,C01484,2026-05-09,completed,Bank Transfer,20,0.0,101.92,North
O000349,C02365,2026-04-17,shipped,COD,10,4.99,104.39,South
O000350,C04759,2025-02-14,completed,Card,0,0.0,135.24,South
O000351,C04062,2024-12-16,completed,Card,0,0.0,96.62,East
O000352,C02500,2024-08-30,shipped,COD,10,12.99,218.67,West
O000353,C01278,2025-11-21,completed,Wallet,5,8.99,166.5,West
O000354,C02441,2026-05-02,cancelled,Bank Transfer,0,8.99,216.19,South
O000355,C02554,2024-10-14,shipped,Card,5,4.99,134.09,North
O000356,C03263,2026-02-15,completed,Wallet,0,0.0,142.27,West
O000357,C04592,2026-01-02,completed,COD,0,8.99,28.29,South
O000358,C00438,2025-06-10,completed,Card,0,0.0,127.02,West
O000359,C02890,2024-12-10,completed,Wallet,0,0.0,122.23,East
O000360,C01811,2025-10-20,completed,Wallet,5,8.99,231.04,North
O000361,C03055,2025-09-07,shipped,COD,35,4.99,210.02,North
O000362,C01127,2026-02-12,completed,COD,5,0.0,246.82,North
O000363,C03106,2025-08-16,completed,COD,35,0.0,63.58,North
O000364,C00336,2024-08-05,completed,Wallet,5,4.99,105.61,South
O000365,C04018,2024-11-26,completed,COD,5,4.99,319.71,North
O000366,C01827,2025-04-04,completed,Card,10,8.99,62.28,East
O000367,C00420,2025-06-24,completed,COD,0,12.99,232.04,North
O000368,C02906,2025-03-13,completed,Bank Transfer,20,0.0,215.69,West
O000369,C01868,2026-04-02,cancelled,Card,0,4.99,103.11,West
O000370,C04596,2025-01-21,completed,Card,10,8.99,305.04,North
O000371,C04682,2025-11-09,completed,Card,5,12.99,270.55,North
O000372,C03191,2025-03-21,completed,COD,10,4.99,38.06,West
O000373,C04825,2026-06-24,completed,Bank Transfer,35,8.99,275.46,North
O000374,C00554,2026-04-29,completed,Card,10,12.99,103.31,East
O000375,C02794,2026-01-23,completed,Card,0,0.0,140.25,Central
O000376,C03910,2026-01-09,completed,Card,20,0.0,140.74,West
O000377,C01500,2025-10-13,completed,Bank Transfer,0,12.99,164.44,South
O000378,C02252,2025-09-02,completed,Card,5,0.0,265.71,West
O000379,C04257,2025-08-15,completed,Card,0,12.99,138.95,Central
O000380,C04432,2024-07-20,completed,COD,5,12.99,98.17,North
O000381,C04454,2026-05-15,completed,COD,5,12.99,51.05,East
O000382,C03600,2026-06-16,completed,COD,10,0.0,75.87,East
O000383,C01486,2025-07-20,completed,Wallet,0,0.0,212.0,East
O000384,C00659,2026-03-27,completed,Wallet,35,0.0,242.1,North
O000385,C03670,2025-04-20,completed,Bank Transfer,0,0.0,82.61,North
O000386,C00216,2024-09-20,completed,Card,5,8.99,186.05,West
O000387,C04755,2026-03-01,completed,Bank Transfer,20,0.0,70.97,North
O000388,C01076,2025-07-07,completed,Card,5,8.99,22.2,East
O000389,C02160,2026-05-17,shipped,COD,0,12.99,32.97,Central
O000390,C04995,2024-12-03,completed,Card,0,8.99,274.09,West
O000391,C00407,2025-06-15,completed,COD,0,4.99,23.4,West
O000392,C02941,2025-10-30,completed,Card,0,4.99,175.6,North
O000393,C04167,2024-10-09,completed,COD,0,8.99,131.64,South
O000394,C00797,2026-06-27,completed,COD,10,12.99,233.66,West
O000395,C03368,2025-09-17,completed,Wallet,0,0.0,121.77,South
