return_id,order_id,product_id,return_date,reason,refund_amount
R00037,O015604,P0323,2026-03-31,Changed mind,97.46
R00038,O004608,P0077,2025-10-15,Not as described,78.34
R00039,O008140,P0150,2026-07-02,Wrong size,71.82
R00040,O002047,P0162,2024-08-08,Wrong size,170.96
R00041,O016744,P0282,2026-05-07,Wrong size,69.92
R00042,O010149,P0042,2024-08-28,Changed mind,121.54
R00043,O000600,P0019,2025-08-07,Late delivery,33.61
R00044,O009435,P0395,2026-05-10,Late delivery,36.73
R00045,O005498,P0493,2025-03-10,Damaged,14.63
R00046,O008964,P0428,2025-07-04,Late delivery,120.8
R00047,O011245,P0395,2024-12-27,Wrong size,56.32
R00048,O011022,P0394,2025-04-01,Late delivery,52.67
R00049,O015013,P0139,2025-12-25,Changed mind,45.95
R00050,O014706,P0025,2025-11-20,Changed mind,70.15
R00051,O016383,P0422,2025-12-19,Damaged,58.18
R00052,O008002,P0386,2025-08-30,Not as described,54.18
R00053,O006269,P0283,2024-12-29,Not as described,38.93
R00054,O008217,P0055,2024-09-01,Late delivery,29.09
R00055,O009779,P0443,2024-11-27,Damaged,89.93
R00056,O002978,P0224,2026-06-09,Late delivery,29.3
R00057,O013830,P0257,2024-10-08,Wrong size,39.84
R00058,O010127,P0498,2025-01-14,Late delivery,284.71
R00059,O005386,P0041,2025-01-22,Late delivery,9.96
R00060,O018343,P0417,2025-05-07,Not as described,98.27
R00061,O004915,P0422,2026-06-24,Damaged,22.21
R00062,O010983,P0039,2024-09-22,Wrong size,75.19
R00063,O000184,P0441,2026-04-03,Wrong size,186.19
R00064,O018090,P0411,2026-03-27,Late delivery,27.28
R00065,O003507,P0319,2025-10-06,Not as described,24.13
R00066,O019371,P0392,2024-09-07,Not as described,19.71
R00067,O001129,P0480,2024-10-05,Not as described,154.04
R00068,O006822,P0103,2024-08-02,Late delivery,84.2
R00069,O000566,P0343,2024-07-20,Damaged,167.44
R00070,O014420,P0442,2026-05-29,Damaged,65.84
R00071,O018294,P0351,2024-10-10,Damaged,67.33
R00072,O019347,P0316,2026-03-29,Not as described,90.71
R00073,O015090,P0232,2024-08-26,Late delivery,50.33
R00074,O002682,P0327,2026-05-18,Wrong size,29.99
R00075,O016838,P0343,2026-07-03,Changed mind,20.11
R00076,O003570,P0179,2024-10-15,Changed mind,27.39
R00077,O015704,P0056,2025-12-17,Not as described,267.0
R00078,O018082,P0477,2026-06-18,Wrong size,58.97
R00079,O006790,P0489,2026-01-05,Wrong size,78.87
R00080,O012821,P0344,2025-06-17,Wrong size,48.65
R00081,O008853,P0412,2024-10-04,Wrong size,59.94
R00082,O016481,P0047,2025-09-06,Damaged,83.5
R00083,O008148,P0197,2025-12-28,Wrong size,147.17
R00084,O015989,P0293,2024-11-21,Wrong size,105.44
R00085,O010886,P0124,2024-12-18,Late delivery,57.72
R00086,O007238,P0342,2024-07-29,Changed mind,18.65
R00087,O008201,P0499,2024-11-23,Changed mind,122.09
R00088,O013442,P0061,2025-05-17,Late delivery,23.03
R00089,O007087,P0137,2025-01-28,Changed mind,142.7
R00090,O000756,P0196,2025-09-30,Changed mind,121.25
R00091,O017517,P0435,2025-09-06,Not as described,161.55
R00092,O006837,P0481,2024-08-14,Changed mind,52.8
R00093,O002953,P0201,2026-06-29,Changed mind,116.46
R00094,O011209,P0295,2024-10-18,Damaged,171.22
R00095,O014667,P0171,2026-05-28,Not as described,67.8
R00096,O008041,P0024,2026-02-10,Late delivery,84.58
R00097,O013880,P0480,2025-01-08,Late delivery,105.97
R00098,O018927,P0109,2025-10-02,Late delivery,20.4
R00099,O008319,P0150,2025-02-21,Not as described,24.22
R00100,O007426,P0388,2025-05-25,Changed mind,62.32
R00101,O017786,P0170,2026-02-21,Changed mind,27.78
R00102,O001085,P0272,2026-01-26,Not as described,128.65
R00103,O007888,P0182,2025-04-27,Late delivery,16.21
R00104,O008658,P0366,2026-03-10,Changed mind,82.8
R00105,O010101,P0311,2025-01-10,Wrong size,292.6
R00106,O010982,P0385,2025-11-24,Late delivery,63.94
R00107,O006196,P0384,2024-09-26,Late delivery,76.71
R00108,O009314,P0353,2025-10-30,Not as described,98.99
R00109,O002437,P0140,2026-03-17,Damaged,100.86
R00110,O009509,P0196,2025-11-16,Damaged,59.37
R00111,O016964,P0327,2026-04-06,Not as described,23.77
R00112,O012587,P0085,2025-10-14,Wrong size,41.97
R00113,O008067,P0425,2024-12-04,Wrong size,38.64
R00114,O001450,P0351,2026-05-18,Damaged,32.3
R00115,O017697,P0195,2026-05-29,Not as described,62.79
R00116,O003475,P0119,2025-05-27,Wrong size,55.51
R00117,O013124,P0220,2025-05-13,Wrong size,15.08
R00118,O018419,P0346,2026-02-06,Not as described,12.89
R00119,O016349,P0006,2024-08-16,Changed mind,38.25
R00120,O007386,P0267,2025-06-17,Late delivery,156.89
R00121,O003085,P0002,2026-04-18,Wrong size,24.96
R00122,O002410,P0403,2026-06-15,Not as described,73.83
R00123,O008841,P0477,2024-09-19,Wrong size,47.4
R00124,O004384,P0137,2025-04-28,Late delivery,29.79
R00125,O003253,P0122,2024-08-29,Late delivery,49.22
R00126,O009269,P0398,2025-02-11,Wrong size,34.52
R00127,O002887,P0401,2025-09-08,Late delivery,46.59
R00128,O000966,P0026,2024-12-22,Not as described,116.71
R00129,O009745,P0334,2026-07-27,Changed mind,14.61
R00130,O013692,P0166,2024-12-16,Late delivery,79.02
R00131,O007966,P0120,2026-06-04,Wrong size,84.86
R00132,O001367,P0314,2024-12-17,Changed mind,17.84
R00133,O015028,P0168,2026-04-08,Not as described,55.47
R00134,O015657,P0237,2024-11-04,Late delivery,40.3
R00135,O002719,P0304,2026-03-03,Changed mind,27.37
R00136,O000537,P0243,2025-09-03,Not as described,15.13
R00137,O017025,P0288,2026-05-25,Late delivery,84.63
R00138,O008900,P0263,2026-07-06,Late delivery,62.54
R00139,O004069,P0051,2025-11-13,Changed mind,80.03
R00140,O010071,P0276,2025-01-04,Changed mind,94.87
R00141,O001133,P0208,2026-07-13,Not as described,158.44
R00142,O015596,P0109,2025-05-30,Not as described,99.7
R00143,O018442,P0334,2026-02-12,Wrong size,46.27
R00144,O007237,P0221,2024-08-08,Changed mind,58.67
R00145,O012208,P0094,2025-03-24,Damaged,14.54
R00146,O008069,P0328,2025-09-05,Wrong size,54.06
R00147,O015553,P0210,2025-07-16,Changed mind,148.71
R00148,O015895,P0342,2025-10-06,Wrong size,19.28
R00149,O008592,P0137,2025-01-26,Wrong size,12.8
R00150,O015414,P0343,2025-12-02,Damaged,8.13
R00151,O016285,P0244,2026-02-18,Wrong size,103.09
R00152,O006942,P0350,2024-09-28,Damaged,16.92
R00153,O009348,P0227,2024-08-20,Damaged,62.57
R00154,O002053,P0256,2025-04-06,Late delivery,75.26
R00155,O011935,P0136,2026-05-03,Damaged,56.76
R00156,O012836,P0021,2024-08-20,Wrong size,105.45
R00157,O005094,P0159,2025-10-18,Changed mind,100.69
R00158,O017581,P0309,2026-07-22,Not as described,45.33
R00159,O016844,P0075,2024-09-18,Not as described,46.62
R00160,O019195,P0203,2025-05-18,Changed mind,123.4
R00161,O009413,P0469,2024-12-22,Wrong size,11.92
R00162,O010172,P0375,2024-12-26,Changed mind,71.84
R00163,O008634,P0442,2025-04-06,Damaged,34.63
R00164,O011514,P0050,2024-11-14,Not as described,105.09
R00165,O015930,P0423,2024-09-09,Wrong size,78.08
R00166,O015032,P0032,2025-12-06,Wrong size,46.32
R00167,O017760,P0419,2025-06-08,Changed mind,141.38
R00168,O010325,P0395,2024-09-03,Wrong size,68.14
R00169,O008009,P0165,2024-10-01,Wrong size,125.39
R00170,O016923,P0367,2024-10-10,Not as described,48.47
R00171,O003368,P0088,2025-12-05,Damaged,99.2
R00172,O006363,P0221,2025-09-02,Damaged,52.24
R00173,O003767,P0434,2024-07-30,Damaged,81.85
R00174,O013138,P0041,2025-05-26,Damaged,81.45
R00175,O003101,P0411,2024-10-12,Damaged,5.81
R00176,O010250,P0412,2024-09-06,Late delivery,72.92
R00177,O008639,P0296,2025-02-21,Damaged,22.15
R00178,O013023,P0321,2025-06-13,Late delivery,40.95
R00179,O001642,P0361,2025-08-06,Not as described,101.34
R00180,O018809,P0311,2026-03-08,Not as described,38.36
R00181,O000186,P0488,2025-07-27,Changed mind,354.97
R00182,O006791,P0061,2024-11-11,Damaged,64.99
R00183,O018739,P0243,2024-11-19,Damaged,211.72
R00184,O001688,P0357,2024-10-26,Wrong size,33.87
R00185,O010033,P0372,2026-02-13,Late delivery,22.58
R00186,O015847,P0447,2026-03-20,Not as described,87.12
R00187,O014101,P0156,2025-02-09,Not as described,65.84
R00188,O002990,P0200,2024-10-21,Changed mind,118.15
R00189,O013387,P0467,2026-04-11,Late delivery,108.47
R00190,O009198,P0327,2025-01-19,Damaged,85.69
R00191,O009700,P0472,2026-06-04,Damaged,51.45
R00192,O006538,P0211,2025-09-05,Changed mind,63.19
R00193,O009115,P0040,2025-03-04,Not as described,100.86
R00194,O004657,P0488,2025-07-09,Late delivery,34.55
R00195,O008176,P0469,2025-08-13,Damaged,37.84
R00196,O009171,P0048,2025-08-20,Late delivery,53.18
R00197,O015035,P0101,2024-12-06,Wrong size,123.32
R00198,O014332,P0173,2025-11-07,Changed mind,86.52
R00199,O018953,P0477,2026-06-08,Late delivery,39.23
R00200,O002547,P0169,2024-12-31,Not as described,62.3
R00201,O007109,P0261,2024-08-10,Wrong size,94.32
R00202,O005532,P0131,2025-11-09,Wrong size,105.95
R00203,O005762,P0230,2026-07-10,Changed mind,81.24
R00204,O015839,P0092,2026-07-20,Damaged,14.69
R00205,O017567,P0286,2025-11-19,Not as described,36.03
R00206,O002681,P0482,2025-04-12,Damaged,116.87
R00207,O009690,P0193,2025-05-21,Wrong size,96.69
R00208,O015815,P0306,2024-10-03,Not as described,21.25
R00209,O012466,P0485,2026-04-19,Late delivery,80.4
R00210,O011239,P0247,2025-04-23,Damaged,105.86
R00211,O019786,P0201,2025-03-20,Changed mind,69.53
R00212,O001116,P0020,2025-04-11,Not as described,37.43
R00213,O009067,P0490,2026-01-07,Late delivery,76.22
R00214,O016977,P0470,2024-11-23,Damaged,17.86
R00215,O004471,P0271,2025-07-24,Not as described,95.5
R00216,O004752,P0172,2025-01-23,Damaged,43.45
R00217,O006756,P0241,2025-11-10,Not as described,197.25
R00218,O007818,P0161,2025-11-17,Changed mind,40.6
R00219,O008995,P0130,2025-03-02,Late delivery,85.33
R00220,O018666,P0326,2026-06-23,Late delivery,9.12
R00221,O000346,P0023,2025-11-27,Wrong size,27.59
R00222,O006645,P0174,2026-02-05,Not as described,31.68
R00223,O019342,P0332,2026-04-10,Not as described,32.83
R00224,O018254,P0491,2026-03-08,Changed mind,1.35
R00225,O016730,P0296,2024-11-27,Not as described,97.64
R00226,O003895,P0306,2026-01-20,Wrong size,55.19
R00227,O017918,P0487,2025-06-20,Changed mind,125.45
R00228,O018199,P0445,2026-06-06,Changed mind,131.84
R00229,O012309,P0323,2025-12-03,Changed mind,69.27
R00230,O017312,P0489,2025-03-26,Changed mind,109.04
R00231,O006509,P0438,2025-10-29,Wrong size,25.3
R00232,O015218,P0152,2025-08-14,Late delivery,80.11
R00233,O002967,P0415,2025-04-23,Wrong size,102.98
R00234,O015706,P0092,2025-05-23,Changed mind,45.69
R00235,O000762,P0450,2026-05-29,Late delivery,51.47
R00236,O005733,P0054,2026-03-26,Wrong size,22.81
R00237,O019869,P0021,2026-05-29,Not as described,128.41
R00238,O000802,P0403,2024-08-31,Changed mind,19.9
R00239,O009207,P0007,2025-02-12,Changed mind,107.07
R00240,O001804,P0289,2025-12-05,Changed mind,84.41
R00241,O018539,P0149,2026-06-14,Changed mind,43.18
R00242,O018609,P0329,2025-09-26,Damaged,82.37
R00243,O004262,P0222,2025-03-31,Not as described,76.75
R00244,O014090,P0143,2025-07-29,Late delivery,33.17
R00245,O009600,P0328,2025-02-13,Changed mind,55.4
R00246,O015520,P0240,2025-11-14,Late delivery,22.74
R00247,O018059,P0442,2026-04-15,Not as described,20.73
R00248,O019778,P0010,2025-06-20,Late delivery,185.02
R00249,O005765,P0196,2026-01-02,Damaged,116.65
R00250,O001842,P0262,2024-07-21,Changed mind,119.68
R00251,O008542,P0386,2025-12-21,Late delivery,58.81
R00252,O001082,P0042,2025-05-04,Not as described,23.7
R00253,O016191,P0105,2026-05-13,Not as described,204.83
R00254,O000581,P0450,2024-08-27,Late delivery,17.85
R00255,O009256,P0484,2026-02-23,Changed mind,123.67
R00256,O011063,P0004,2025-04-26,Changed mind,21.31
R00257,O013141,P0374,2026-02-25,Damaged,41.89
R00258,O001678,P0031,2025-12-28,Late delivery,59.87
R00259,O017878,P0234,2025-04-09,Late delivery,52.71
R00260,O017699,P0024,2026-03-04,Late delivery,145.65
R00261,O004218,P0256,2025-11-24,Damaged,60.81
R00262,O015867,P0142,2024-11-02,Late delivery,56.07
R00263,O015731,P0147,2025-12-03,Not as described,74.54
R00264,O001143,P0319,2026-01-19,Damaged,18.11
R00265,O006218,P0211,2026-05-17,Not as described,43.08
R00266,O017234,P0304,2024-12-02,Not as described,27.72
R00267,O000874,P0487,2024-12-12,Changed mind,74.79
R00268,O013098,P0372,2025-02-12,Damaged,35.09
R00269,O019492,P0039,2024-09-19,Wrong size,154.28
R00270,O000896,P0131,2025-01-31,Changed mind,56.47
R00271,O011516,P0239,2026-06-10,Wrong size,73.09
R00272,O014321,P0402,2025-05-07,Wrong size,84.76
R00273,O007125,P0161,2025-05-25,Late delivery,68.13
R00274,O009085,P0218,2026-03-01,Not as described,46.46
R00275,O010429,P0120,2025-09-01,Wrong size,27.64
R00276,O013142,P0488,2024-11-12,Late delivery,121.84
R00277,O017249,P0039,2024-12-10,Changed mind,90.99
R00278,O011947,P0076,2025-04-29,Late delivery,46.99
R00279,O012198,P0092,2025-12-03,Late delivery,73.59
R00280,O018446,P0496,2025-09-13,Not as described,129.95
R00281,O018348,P0088,2025-05-16,Changed mind,26.63
R00282,O003152,P0315,2026-03-02,Late delivery,96.7
R00283,O018967,P0192,2024-11-24,Changed mind,121.78
R00284,O008220,P0044,2025-10-17,Wrong size,39.02
R00285,O014223,P0010,2025-11-12,Damaged,54.8
R00286,O010249,P0430,2026-03-07,Changed mind,39.04
R00287,O004823,P0112,2026-02-02,Late delivery,34.52
R00288,O003041,P0286,2026-05-17,Changed mind,151.59
R00289,O017494,P0144,2025-08-24,Wrong size,140.62
R00290,O018733,P0348,2025-12-08,Late delivery,81.66
R00291,O002727,P0090,2024-11-19,Wrong size,166.66
R00292,O013131,P0396,2025-07-30,Damaged,73.19
R00293,O008037,P0035,2025-11-07,Not as described,55.98
R00294,O007431,P0134,2025-09-29,Wrong size,32.46
R00295,O003305,P0308,2026-05-23,Not as described,93.2
R00296,O016479,P0292,2025-03-18,Late delivery,53.64
R00297,O008435,P0327,2026-05-19,Changed mind,8.33
R00298,O013682,P0048,2025-12-21,Changed mind,47.33
R00299,O013313,P0475,2024-08-07,Not as described,44.98
R00300,O014066,P0281,2025-02-23,Late delivery,120.1
R00301,O006339,P0369,2025-04-03,Late delivery,77.69
R00302,O016170,P0009,2025-10-01,Changed mind,73.9
R00303,O015283,P0212,2026-02-26,Late delivery,69.79
R00304,O000523,P0366,2025-09-16,Not as described,69.72
R00305,O011229,P0036,2026-07-19,Wrong size,137.4
R00306,O002590,P0054,2024-09-01,Wrong size,43.48
R00307,O008159,P0187,2024-12-11,Wrong size,59.09
R00308,O010505,P0015,2025-07-10,Changed mind,21.54
R00309,O008323,P0438,2025-05-07,Damaged,63.74
R00310,O003388,P0366,2025-03-21,Damaged,91.52
R00311,O013759,P0452,2026-02-24,Wrong size,119.4
R00312,O009735,P0102,2024-10-03,Late delivery,106.99
R00313,O019715,P0150,2025-04-22,Changed mind,26.0
R00314,O000948,P0180,2025-11-28,Damaged,68.63
R00315,O016533,P0043,2025-01-02,Late delivery,35.84
R00316,O008232,P0483,2025-08-27,Changed mind,73.47
R00317,O007587,P0433,2025-06-23,Changed mind,74.59
R00318,O008134,P0029,2024-09-07,Late delivery,61.79
R00319,O004389,P0104,2024-12-26,Changed mind,83.93
R00320,O012624,P0140,2024-10-29,Wrong size,46.12
R00321,O013333,P0175,2025-11-25,Wrong size,46.84
R00322,O006099,P0465,2026-06-02,Late delivery,46.98
R00323,O009826,P0231,2025-08-14,Not as described,71.29
R00324,O008224,P0004,2024-08-25,Changed mind,54.13
R00325,O018576,P0441,2025-04-22,Late delivery,44.49
R00326,O002176,P0387,2025-05-23,Changed mind,114.33
R00327,O002060,P0246,2026-03-21,Not as described,153.33
R00328,O004523,P0263,2025-04-17,Wrong size,201.31
R00329,O010124,P0142,2025-08-13,Not as described,7.66
R00330,O005305,P0146,2024-12-06,Late delivery,129.29
R00331,O013101,P0480,2024-07-28,Not as described,45.09
R00332,O004316,P0442,2025-06-20,Not as described,38.99
R00333,O007722,P0223,2024-12-15,Damaged,95.56
R00334,O006945,P0249,2025-05-29,Wrong size,27.33
R00335,O008999,P0474,2025-12-10,Damaged,182.16
R00336,O008104,P0469,2025-06-17,Late delivery,33.57
R00337,O004365,P0103,2026-02-03,Damaged,56.02
R00338,O019704,P0385,2024-12-09,Changed mind,151.2
R00339,O011792,P0068,2025-09-14,Not as described,138.39
R00340,O008920,P0483,2024-10-30,Changed mind,31.83
R00341,O002101,P0355,2025-02-10,Not as described,31.7
R00342,O017548,P0247,2024-10-26,Late delivery,13.81
R00343,O013230,P0026,2025-02-09,Changed mind,75.86
R00344,O005742,P0367,2024-10-07,Damaged,7.95
R00345,O017671,P0479,2024-11-01,Not as described,51.3
R00346,O004423,P0292,2024-12-29,Not as described,34.18
R00347,O019810,P0443,2026-06-10,Changed mind,97.6
R00348,O010055,P0408,2025-09-19,Not as described,24.98
R00349,O017882,P0069,2025-06-23,Not as described,68.37
R00350,O004229,P0000,2025-08-24,Not as described,238.98
R00351,O017573,P0251,2025-08-07,Not as described,81.28
R00352,O008046,P0134,2026-03-03,Damaged,133.65
R00353,O007967,P0410,2025-10-22,Wrong size,90.19
R00354,O019450,P0235,2024-11-14,Late delivery,98.62
R00355,O002119,P0414,2026-06-30,Wrong size,86.63
R00356,O001782,P0262,2025-10-10,Late delivery,30.56
R00357,O002016,P0423,2024-12-30,Not as described,120.54
R00358,O012347,P0453,2026-07-22,Changed mind,12.83
R00359,O013059,P0132,2024-12-25,Wrong size,91.15
R00360,O017637,P0344,2025-04-24,Not as described,34.34
R00361,O013076,P0400,2025-11-20,Not as described,87.97
R00362,O011135,P0336,2025-11-14,Damaged,46.66
R00363,O011762,P0374,2024-10-25,Damaged,33.59
R00364,O007165,P0081,2026-06-16,Wrong size,100.39
R00365,O008061,P0299,2026-06-25,Not as described,107.27
R00366,O014917,P0345,2025-02-20,Wrong size,25.82
R00367,O013428,P0097,2026-05-20,Not as described,46.23
R00368,O000532,P0333,2024-08-01,Late delivery,19.65
R00369,O007944,P0401,2026-03-25,Wrong size,84.14
R00370,O016999,P0304,2025-06-13,Late delivery,15.28
R00371,O008157,P0193,2025-07-05,Wrong size,6.94
R00372,O013256,P0006,2024-11-28,Wrong size,105.4
R00373,O006491,P0016,2025-01-10,Changed mind,69.62
R00374,O003385,P0470,2025-03-03,Wrong size,16.32
R00375,O015809,P0300,2024-08-17,Changed mind,85.81
R00376,O018261,P0229,2025-09-15,Late delivery,179.38
R00377,O005986,P0077,2025-05-09,Late delivery,15.48
R00378,O002104,P0043,2025-01-07,Not as described,59.95
R00379,O011456,P0488,2026-04-07,Not as described,92.97
R00380,O009150,P0273,2026-01-24,Damaged,54.89
R00381,O005615,P0325,2025-07-16,Late delivery,100.11
R00382,O013885,P0099,2025-03-12,Not as described,89.14
R00383,O018094,P0341,2026-02-01,Not as described,77.69
R00384,O006508,P0187,2026-02-12,Not as described,65.17
R00385,O018694,P0455,2025-10-08,Damaged,30.76
R00386,O012672,P0439,2024-09-25,Not as described,99.79
R00387,O000915,P0182,2026-06-05,Wrong size,25.75
R00388,O018066,P0399,2025-12-21,Wrong size,125.43
R00389,O012221,P0146,2026-02-15,Damaged,29.66
R00390,O005173,P0178,2025-07-02,Damaged,103.33
R00391,O017378,P0353,2024-12-25,Late delivery,57.38
R00392,O018962,P0022,2025-10-22,Late delivery,36.6
R00393,O017743,P0407,2025-10-09,Damaged,70.74
R00394,O012961,P0097,2025-04-26,Late delivery,44.41
R00395,O011499,P0276,2024-09-06,Changed mind,50.38
R00396,O018278,P0369,2025-03-19,Damaged,80.48
R00397,O014681,P0182,2026-03-10,Damaged,54.61
R00398,O018386,P0192,2026-06-27,Wrong size,53.74
R00399,O004328,P0039,2026-06-29,Not as described,31.43
R00400,O001569,P0415,2024-10-01,Changed mind,123.66
R00401,O019751,P0217,2025-08-24,Late delivery,54.26
R00402,O006895,P0048,2026-04-24,Late delivery,76.42
R00403,O011886,P0472,2025-02-09,Not as described,139.92
R00404,O009528,P0490,2026-01-29,Changed mind,50.73
R00405,O018388,P0358,2025-07-18,Changed mind,201.39
R00406,O015661,P0413,2025-11-11,Damaged,29.37
R00407,O018422,P0124,2025-11-09,Not as described,43.25
R00408,O019268,P0380,2025-05-22,Late delivery,100.57
R00409,O002874,P0492,2024-10-01,Late delivery,64.8
R00410,O019828,P0481,2026-06-01,Wrong size,107.89
R00411,O010050,P0287,2026-05-10,Changed mind,116.1
R00412,O004870,P0304,2025-01-22,Wrong size,47.02
R00413,O015990,P0354,2026-02-18,Damaged,94.47
R00414,O002263,P0161,2025-11-17,Late delivery,97.34
R00415,O018916,P0171,2025-10-13,Not as described,137.4
R00416,O015582,P0057,2024-09-06,Wrong size,27.45
R00417,O018611,P0078,2025-10-12,Late delivery,264.79
R00418,O005029,P0334,2025-09-19,Late delivery,174.14
R00419,O006390,P0210,2024-09-16,Not as described,16.02
R00420,O011214,P0121,2026-05-26,Late delivery,106.95
R00421,O005321,P0027,2025-06-23,Changed mind,82.53
R00422,O004094,P0160,2024-11-01,Not as described,42.1
R00423,O011159,P0395,2026-03-05,Late delivery,82.74
R00424,O013482,P0158,2026-01-06,Wrong size,36.2
R00425,O005024,P0348,2024-08-18,Not as described,43.18
R00426,O012294,P0426,2025-07-08,Not as described,16.57
R00427,O001438,P0495,2025-03-31,Not as described,94.62
R00428,O001829,P0387,2024-12-21,Late delivery,46.38
R00429,O011436,P0450,2026-04-18,Late delivery,171.3
R00430,O018976,P0016,2025-04-06,Damaged,86.73
R00431,O009636,P0473,2026-05-20,Late delivery,93.07
R00432,O005617,P0413,2025-08-13,Late delivery,193.6
R00433,O012148,P0141,2025-08-11,Wrong size,94.44
R00434,O001903,P0464,2025-09-10,Changed mind,239.64
R00435,O015587,P0046,2025-05-11,Changed mind,27.24
R00436,O014952,P0054,2026-07-07,Late delivery,139.49
R00437,O008094,P0184,2025-08-07,Damaged,37.73
R00438,O003565,P0099,2026-07-06,Not as described,71.49
R00439,O004509,P0485,2025-08-22,Changed mind,31.3
R00440,O004448,P0218,2024-11-16,Damaged,109.09
R00441,O015906,P0149,2025-07-04,Changed mind,19.29
R00442,O011750,P0217,2026-01-03,Changed mind,63.27
R00443,O000022,P0282,2024-10-31,Damaged,96.83
R00444,O007428,P0378,2025-11-12,Changed mind,353.26
R00445,O012570,P0250,2025-10-14,Not as described,99.59
R00446,O013243,P0219,2025-11-16,Damaged,95.06
R00447,O007115,P0485,2026-06-18,Wrong size,29.03
R00448,O019790,P0449,2025-01-02,Changed mind,71.73
R00449,O008990,P0464,2024-12-04,Damaged,42.38
R00450,O014396,P0253,2025-07-25,Not as described,33.62
R00451,O005071,P0034,2025-03-28,Late delivery,18.24
R00452,O019005,P0123,2026-01-03,Late delivery,29.78
R00453,O018451,P0255,2025-06-30,Late delivery,25.83
R00454,O001087,P0232,2025-08-31,Not as described,130.04
R00455,O011564,P0045,2025-11-08,Wrong size,14.13
R00456,O011813,P0356,2025-01-20,Wrong size,21.15
R00457,O002294,P0185,2026-02-20,Wrong size,52.3
R00458,O013183,P0401,2025-08-10,Not as described,121.64
R00459,O018735,P0091,2026-05-01,Wrong size,194.39
R00460,O018827,P0018,2025-09-06,Damaged,48.14
R00461,O004343,P0153,2026-03-15,Wrong size,109.4
R00462,O009049,P0088,2026-07-03,Changed mind,48.7
R00463,O015754,P0258,2025-07-05,Changed mind,89.95
R00464,O007621,P0158,2026-04-21,Late delivery,35.06
R00465,O017487,P0178,2026-02-20,Changed mind,68.43
R00466,O013042,P0490,2024-10-30,Changed mind,86.44
R00467,O005125,P0340,2024-09-27,Damaged,120.42
R00468,O008923,P0223,2026-07-08,Damaged,44.16
R00469,O003698,P0030,2026-07-02,Not as described,24.3
R00470,O013457,P0414,2026-01-21,Not as described,120.39
R00471,O003285,P0211,2025-10-13,Not as described,167.04
R00472,O004761,P0269,2026-01-03,Wrong size,35.1
R00473,O007281,P0102,2026-04-05,Not as described,17.15
R00474,O011372,P0285,2024-10-04,Changed mind,128.61
R00475,O015402,P0425,2025-11-30,Damaged,75.41
R00476,O006392,P0346,2024-08-17,Changed mind,22.11
R00477,O016347,P0018,2024-11-16,Changed mind,46.77
R00478,O004449,P0207,2026-02-26,Changed mind,10.82
R00479,O015560,P0195,2026-03-01,Late delivery,37.78
R00480,O008433,P0036,2025-02-15,Changed mind,92.04
R00481,O010430,P0499,2025-05-04,Not as described,16.17
R00482,O006102,P0334,2024-10-01,Changed mind,66.47
R00483,O014701,P0340,2024-09-21,Damaged,51.53
R00484,O006983,P0090,2024-07-18,Damaged,25.27
R00485,O015648,P0373,2026-05-05,Changed mind,63.63
R00486,O017755,P0304,2026-05-21,Damaged,287.89
