product_id,product_name,category,subcategory,unit_cost,list_price,launch_date
P0039,Asteria Beauty 40,Beauty,Portable,25.11,416.77,2022-08-05
P0040,Asteria Office 41,Office,Portable,157.74,239.08,2023-06-19
P0041,Asteria Outdoors 42,Outdoors,Premium,12.08,176.33,2023-06-17
P0042,Asteria Electronics 43,Electronics,Premium,56.73,436.4,2022-07-30
P0043,Asteria Home 44,Home,Premium,28.62,171.05,2023-07-22
P0044,Asteria Fitness 45,Fitness,Portable,124.61,469.56,2023-12-26
P0045,Asteria Beauty 46,Beauty,Accessories,94.17,450.21,2023-12-25
P0046,Asteria Office 47,Office,Accessories,169.32,211.65,2022-06-21
P0047,Asteria Outdoors 48,Outdoors,Premium,68.45,171.4,2023-04-23
P0048,Asteria Electronics 49,Electronics,Accessories,11.17,392.09,2023-03-26
P0049,Asteria Home 50,Home,Portable,138.05,172.56,2023-03-15
P0050,Asteria Fitness 51,Fitness,Accessories,105.99,354.55,2024-01-07
P0051,Asteria Beauty 52,Beauty,Premium,149.63,187.04,2023-08-01
P0052,Asteria Office 53,Office,Portable,79.0,108.22,2022-06-01
P0053,Asteria Outdoors 54,Outdoors,Portable,133.92,246.24,2024-03-07
P0054,Asteria Electronics 55,Electronics,Portable,34.11,361.07,2022-06-01
P0055,Asteria Home 56,Home,Portable,179.92,358.05,2023-11-26
P0056,Asteria Fitness 57,Fitness,Premium,34.56,296.98,2023-11-08
P0057,Asteria Beauty 58,Beauty,Premium,150.04,187.55,2024-06-20
P0058,Asteria Office 59,Office,Essentials,41.39,206.4,2023-01-18
P0059,Asteria Outdoors 60,Outdoors,Premium,141.72,177.15,2023-10-20
P0060,Asteria Electronics 61,Electronics,Accessories,155.58,194.48,2023-06-30
P0061,Asteria Home 62,Home,Accessories,158.29,197.86,2023-03-25
P0062,Asteria Fitness 63,Fitness,Essentials,87.73,292.26,2023-02-10
P0063,Asteria Beauty 64,Beauty,Portable,79.47,109.15,2022-05-29
P0064,Asteria Office 65,Office,Essentials,150.75,188.44,2023-04-14
P0065,Asteria Outdoors 66,Outdoors,Essentials,105.99,336.07,2024-02-10
P0066,Asteria Electronics 67,Electronics,Accessories,113.34,141.68,2022-12-17
P0067,Asteria Home 68,Home,Essentials,45.55,466.33,2024-05-18
P0068,Asteria Fitness 69,Fitness,Portable,82.52,175.93,2022-08-27
P0069,Asteria Beauty 70,Beauty,Essentials,69.02,86.28,2023-11-07
P0070,Asteria Office 71,Office,Essentials,121.1,425.99,2022-12-02
P0071,Asteria Outdoors 72,Outdoors,Portable,38.58,292.71,2024-02-27
P0072,Asteria Electronics 73,Electronics,Premium,75.41,394.54,2023-08-11
P0073,Asteria Home 74,Home,Accessories,153.38,215.59,2022-12-23
P0074,Asteria Fitness 75,Fitness,Accessories,100.17,177.76,2023-02-20
P0075,Asteria Beauty 76,Beauty,Essentials,161.7,318.63,2024-06-27
P0076,Asteria Office 77,Office,Accessories,44.92,202.01,2024-06-04
P0077,Asteria Outdoors 78,Outdoors,Accessories,81.42,272.31,2022-05-09
P0078,Asteria Electronics 79,Electronics,Essentials,92.07,142.02,2023-05-05
P0079,Asteria Home 80,Home,Portable,74.5,167.68,2022-08-17
P0080,Asteria Fitness 81,Fitness,Portable,124.47,155.59,2024-05-04
P0081,Asteria Beauty 82,Beauty,Portable,30.17,377.68,2023-06-05
P0082,Asteria Office 83,Office,Essentials,95.41,175.26,2023-03-28
P0083,Asteria Outdoors 84,Outdoors,Essentials,28.42,468.3,2022-06-26
P0084,Asteria Electronics 85,Electronics,Portable,114.74,143.42,2022-12-11
P0085,Asteria Home 86,Home,Premium,150.12,234.32,2023-02-15
P0086,Asteria Fitness 87,Fitness,Accessories,7.52,154.99,2023-11-10
P0087,Asteria Beauty 88,Beauty,Premium,84.42,336.76,2022-04-28
P0088,Asteria Office 89,Office,Essentials,90.72,390.32,2023-10-13
P0089,Asteria Outdoors 90,Outdoors,Accessories,130.76,239.92,2023-11-22
P0090,Asteria Electronics 91,Electronics,Essentials,17.15,183.72,2022-12-01
P0091,Asteria Home 92,Home,Essentials,75.46,360.54,2022-04-26
P0092,Asteria Fitness 93,Fitness,Accessories,142.24,177.8,2022-08-16
P0093,Asteria Beauty 94,Beauty,Essentials,97.66,292.55,2024-02-08
P0094,Asteria Office 95,Office,Essentials,135.97,355.34,2022-09-18
P0095,Asteria Outdoors 96,Outdoors,Portable,68.07,138.02,2023-09-23
P0096,Asteria Electronics 97,Electronics,Accessories,165.94,318.87,2024-01-06
P0097,Asteria Home 98,Home,Accessories,17.61,356.09,2022-06-14
P0098,Asteria Fitness 99,Fitness,Essentials,20.04,66.95,2022-06-03
P0099,Asteria Beauty 100,Beauty,Essentials,97.01,163.59,2023-09-09
P0100,Asteria Office 101,Office,Premium,86.86,202.15,2024-06-11
P0101,Asteria Outdoors 102,Outdoors,Premium,116.37,375.15,2024-01-16
P0102,Asteria Electronics 103,Electronics,Premium,44.31,277.59,2023-04-26
P0103,Asteria Home 104,Home,Essentials,43.78,222.39,2024-05-15
P0104,Asteria Fitness 105,Fitness,Portable,135.84,169.8,2024-01-02
P0105,Asteria Beauty 106,Beauty,Premium,55.35,69.19,2024-03-04
P0106,Asteria Office 107,Office,Portable,132.0,165.0,2022-06-01
P0107,Asteria Outdoors 108,Outdoors,Premium,116.76,145.95,2023-09-21
P0108,Asteria Electronics 109,Electronics,Premium,18.67,66.61,2023-09-01
P0109,Asteria Home 110,Home,Essentials,129.16,161.45,2023-07-31
P0110,Asteria Fitness 111,Fitness,Accessories,158.79,294.08,2024-06-21
P0111,Asteria Beauty 112,Beauty,Essentials,147.73,295.35,2023-04-25
P0112,Asteria Office 113,Office,Accessories,5.56,32.95,2022-07-03
P0113,Asteria Outdoors 114,Outdoors,Portable,98.99,289.96,2022-09-20
P0114,Asteria Electronics 115,Electronics,Premium,164.75,205.94,2023-12-14
P0115,Asteria Home 116,Home,Portable,109.38,188.54,2024-06-21
P0116,Asteria Fitness 117,Fitness,Accessories,55.1,475.17,2022-10-22
P0117,Asteria Beauty 118,Beauty,Essentials,38.24,256.3,2022-08-29
P0118,Asteria Office 119,Office,Essentials,124.55,155.69,2022-06-25
P0119,Asteria Outdoors 120,Outdoors,Accessories,139.74,174.7,2023-03-28
P0120,Asteria Electronics 121,Electronics,Accessories,164.61,325.98,2023-06-19
P0121,Asteria Home 122,Home,Essentials,163.41,204.26,2022-11-04
P0122,Asteria Fitness 123,Fitness,Accessories,63.71,463.36,2022-12-27
P0123,Asteria Beauty 124,Beauty,Portable,110.28,211.04,2022-11-04
P0124,Asteria Office 125,Office,Essentials,21.87,27.34,2023-11-17
P0125,Asteria Outdoors 126,Outdoors,Portable,20.63,264.98,2022-07-10
P0126,Asteria Electronics 127,Electronics,Accessories,16.58,328.46,2024-06-02
P0127,Asteria Home 128,Home,Accessories,167.18,225.4,2024-04-18
P0128,Asteria Fitness 129,Fitness,Essentials,30.83,446.38,2023-01-25
P0129,Asteria Beauty 130,Beauty,Accessories,88.89,434.1,2023-04-01
P0130,Asteria Office 131,Office,Premium,80.22,100.28,2023-04-15
P0131,Asteria Outdoors 132,Outdoors,Premium,61.16,76.45,2022-07-05
P0132,Asteria Electronics 133,Electronics,Portable,98.64,158.16,2022-08-05
P0133,Asteria Home 134,Home,Essentials,4.49,296.61,2022-12-04
P0134,Asteria Fitness 135,Fitness,Essentials,70.91,293.55,2024-02-21
P0135,Asteria Beauty 136,Beauty,Premium,88.36,139.13,2024-04-15
P0136,Asteria Office 137,Office,Accessories,145.38,457.12,2024-03-12
P0137,Asteria Outdoors 138,Outdoors,Essentials,127.37,159.21,2023-02-26
P0138,Asteria Electronics 139,Electronics,Portable,153.56,388.37,2022-12-09
P0139,Asteria Home 140,Home,Accessories,70.23,401.37,2022-10-01
P0140,Asteria Fitness 141,Fitness,Portable,28.8,58.07,2024-04-10
P0141,Asteria Beauty 142,Beauty,Premium,74.59,120.83,2023-11-25
P0142,Asteria Office 143,Office,Essentials,173.5,216.88,2023-10-05
P0143,Asteria Outdoors 144,Outdoors,Essentials,41.72,442.4,2023-02-12
P0144,Asteria Electronics 145,Electronics,Accessories,34.76,176.32,2024-05-25
P0145,Asteria Home 146,Home,Accessories,170.2,403.47,2022-08-29
P0146,Asteria Fitness 147,Fitness,Accessories,171.19,235.71,2024-04-28
P0147,Asteria Beauty 148,Beauty,Portable,30.27,225.98,2023-05-09
P0148,Asteria Office 149,Office,Portable,139.42,434.8,2022-06-16
P0149,Asteria Outdoors 150,Outdoors,Accessories,79.63,218.34,2024-01-28
P0150,Asteria Electronics 151,Electronics,Essentials,90.63,360.59,2022-12-30
P0151,Asteria Home 152,Home,Accessories,91.77,210.61,2023-04-19
P0152,Asteria Fitness 153,Fitness,Portable,174.43,218.04,2022-09-15
P0153,Asteria Beauty 154,Beauty,Portable,36.5,45.62,2023-03-19
P0154,Asteria Office 155,Office,Portable,140.06,175.08,2022-08-23
P0155,Asteria Outdoors 156,Outdoors,Essentials,5.0,350.02,2023-08-14
P0156,Asteria Electronics 157,Electronics,Premium,114.64,186.87,2024-02-21
P0157,Asteria Home 158,Home,Accessories,118.87,224.52,2023-01-05
P0158,Asteria Fitness 159,Fitness,Essentials,136.65,170.81,2022-05-19
P0159,Asteria Beauty 160,Beauty,Premium,166.97,303.58,2023-07-21
P0160,Asteria Office 161,Office,Essentials,136.67,388.01,2022-09-15
P0161,Asteria Outdoors 162,Outdoors,Essentials,132.86,304.35,2022-07-31
P0162,Asteria Electronics 163,Electronics,Essentials,48.67,472.8,2023-02-01
P0163,Asteria Home 164,Home,Portable,178.74,223.42,2022-10-07
P0164,Asteria Fitness 165,Fitness,Portable,86.44,108.05,2023-04-08
P0165,Asteria Beauty 166,Beauty,Premium,77.47,246.0,2022-09-27
P0166,Asteria Office 167,Office,Essentials,92.33,136.68,2023-10-07
P0167,Asteria Outdoors 168,Outdoors,Premium,73.35,333.29,2023-05-08
P0168,Asteria Electronics 169,Electronics,Premium,108.48,383.22,2024-04-30
P0169,Asteria Home 170,Home,Essentials,65.53,81.91,2024-01-26
P0170,Asteria Fitness 171,Fitness,Accessories,46.23,441.31,2023-03-26
P0171,Asteria Beauty 172,Beauty,Portable,167.33,209.16,2022-11-30
P0172,Asteria Office 173,Office,Portable,167.3,334.17,2024-06-08
P0173,Asteria Outdoors 174,Outdoors,Portable,91.34,191.95,2024-05-07
P0174,Asteria Electronics 175,Electronics,Portable,173.34,324.36,2024-06-26
P0175,Asteria Home 176,Home,Essentials,77.17,96.46,2023-05-14
P0176,Asteria Fitness 177,Fitness,Accessories,72.18,450.55,2023-10-07
P0177,Asteria Beauty 178,Beauty,Accessories,165.38,450.71,2024-05-20
P0178,Asteria Office 179,Office,Essentials,115.39,255.08,2022-10-06
P0179,Asteria Outdoors 180,Outdoors,Essentials,138.2,250.49,2023-05-06
P0180,Asteria Electronics 181,Electronics,Accessories,76.64,309.09,2024-06-23
P0181,Asteria Home 182,Home,Accessories,75.63,283.47,2022-12-31
P0182,Asteria Fitness 183,Fitness,Essentials,18.66,266.38,2022-07-03
P0183,Asteria Beauty 184,Beauty,Premium,174.15,287.74,2023-08-01
P0184,Asteria Office 185,Office,Essentials,44.12,413.84,2022-06-03
P0185,Asteria Outdoors 186,Outdoors,Essentials,90.99,297.98,2023-08-03
P0186,Asteria Electronics 187,Electronics,Accessories,24.17,103.65,2024-05-01
P0187,Asteria Home 188,Home,Accessories,117.86,439.71,2024-03-25
P0188,Asteria Fitness 189,Fitness,Portable,72.79,113.07,2024-05-09
P0189,Asteria Beauty 190,Beauty,Portable,139.11,173.89,2023-11-03
P0190,Asteria Office 191,Office,Essentials,96.99,478.62,2023-08-29
P0191,Asteria Outdoors 192,Outdoors,Premium,26.79,111.88,2023-07-12
P0192,Asteria Electronics 193,Electronics,Portable,5.89,58.84,2023-06-13
P0193,Asteria Home 194,Home,Essentials,41.39,275.02,2022-08-11
P0194,Asteria Fitness 195,Fitness,Portable,131.48,399.13,2024-06-22
P0195,Asteria Beauty 196,Beauty,Portable,149.82,187.27,2022-07-14
P0196,Asteria Office 197,Office,Essentials,64.07,241.37,2023-12-23
P0197,Asteria Outdoors 198,Outdoors,Essentials,98.32,122.9,2022-05-31
P0198,Asteria Electronics 199,Electronics,Accessories,46.24,212.63,2024-03-15
P0199,Asteria Home 200,Home,Premium,158.96,198.7,2024-04-12
P0200,Asteria Fitness 201,Fitness,Portable,173.88,217.35,2024-03-26
P0201,Asteria Beauty 202,Beauty,Accessories,136.52,447.72,2023-11-08
P0202,Asteria Office 203,Office,Accessories,19.64,309.13,2022-06-09
P0203,Asteria Outdoors 204,Outdoors,Essentials,80.93,406.55,2023-06-27
P0204,Asteria Electronics 205,Electronics,Premium,178.33,435.98,2024-02-20
P0205,Asteria Home 206,Home,Essentials,44.37,447.33,2023-02-04
P0206,Asteria Fitness 207,Fitness,Essentials,122.0,362.12,2023-05-22
P0207,Asteria Beauty 208,Beauty,Essentials,169.19,211.49,2022-12-17
P0208,Asteria Office 209,Office,Portable,140.08,399.94,2022-11-16
P0209,Asteria Outdoors 210,Outdoors,Essentials,111.16,255.45,2022-10-12
P0210,Asteria Electronics 211,Electronics,Accessories,93.18,139.13,2024-03-02
P0211,Asteria Home 212,Home,Accessories,167.47,209.34,2023-06-01
P0212,Asteria Fitness 213,Fitness,Essentials,73.47,152.97,2023-02-13
P0213,Asteria Beauty 214,Beauty,Portable,162.62,230.18,2023-04-13
P0214,Asteria Office 215,Office,Accessories,79.87,377.66,2022-05-15
P0215,Asteria Outdoors 216,Outdoors,Essentials,137.15,238.92,2022-05-25
P0216,Asteria Electronics 217,Electronics,Essentials,165.17,206.46,2022-09-21
P0217,Asteria Home 218,Home,Accessories,100.91,126.14,2023-12-22
P0218,Asteria Fitness 219,Fitness,Accessories,58.54,412.49,2023-05-05
P0219,Asteria Beauty 220,Beauty,Premium,12.97,207.33,2022-09-27
P0220,Asteria Office 221,Office,Premium,146.43,218.82,2023-11-30
P0221,Asteria Outdoors 222,Outdoors,Essentials,113.47,369.42,2022-12-10
P0222,Asteria Electronics 223,Electronics,Essentials,50.3,409.67,2023-12-15
P0223,Asteria Home 224,Home,Accessories,158.42,251.22,2024-03-11
P0224,Asteria Fitness 225,Fitness,Premium,165.97,307.95,2023-12-23
P0225,Asteria Beauty 226,Beauty,Premium,160.14,200.18,2022-06-21
P0226,Asteria Office 227,Office,Premium,109.87,449.61,2022-04-27
P0227,Asteria Outdoors 228,Outdoors,Accessories,175.88,277.79,2022-08-17
P0228,Asteria Electronics 229,Electronics,Premium,157.97,348.78,2023-11-27
P0229,Asteria Home 230,Home,Premium,22.35,65.45,2022-10-17
P0230,Asteria Fitness 231,Fitness,Premium,176.67,310.08,2024-01-09
P0231,Asteria Beauty 232,Beauty,Accessories,100.59,184.67,2024-03-22
P0232,Asteria Office 233,Office,Essentials,165.93,222.63,2023-12-08
P0233,Asteria Outdoors 234,Outdoors,Portable,137.82,331.25,2024-03-12
P0234,Asteria Electronics 235,Electronics,Accessories,117.97,384.68,2023-02-05
P0235,Asteria Home 236,Home,Essentials,61.49,175.5,2023-01-02
P0236,Asteria Fitness 237,Fitness,Portable,8.76,420.67,2024-06-03
P0237,Asteria Beauty 238,Beauty,Portable,52.71,114.49,2024-04-07
P0238,Asteria Office 239,Office,Essentials,124.7,275.44,2023-06-14
P0239,Asteria Outdoors 240,Outdoors,Essentials,155.91,194.89,2024-04-02
P0240,Asteria Electronics 241,Electronics,Essentials,4.41,147.37,2022-09-08
P0241,Asteria Home 242,Home,Essentials,40.6,431.05,2023-08-16
P0242,Asteria Fitness 243,Fitness,Accessories,122.46,153.07,2023-08-06
P0243,Asteria Beauty 244,Beauty,Essentials,53.92,440.51,2024-06-27
P0244,Asteria Office 245,Office,Premium,28.94,165.69,2022-12-18
P0245,Asteria Outdoors 246,Outdoors,Portable,18.42,337.63,2022-12-02
P0246,Asteria Electronics 247,Electronics,Accessories,116.27,145.34,2022-11-04
P0247,Asteria Home 248,Home,Accessories,108.7,312.12,2023-04-26
P0248,Asteria Fitness 249,Fitness,Essentials,155.12,437.63,2023-11-29
P0249,Asteria Beauty 250,Beauty,Portable,59.41,271.83,2024-04-30
P0250,Asteria Office 251,Office,Essentials,28.06,181.47,2023-10-23
P0251,Asteria Outdoors 252,Outdoors,Accessories,144.65,383.39,2023-04-24
P0252,Asteria Electronics 253,Electronics,Accessories,177.92,345.56,2024-03-30
P0253,Asteria Home 254,Home,Premium,67.43,84.29,2024-05-19
P0254,Asteria Fitness 255,Fitness,Portable,156.3,323.55,2024-01-10
P0255,Asteria Beauty 256,Beauty,Portable,138.21,323.06,2024-05-06
P0256,Asteria Office 257,Office,Essentials,164.44,363.9,2024-06-20
P0257,Asteria Outdoors 258,Outdoors,Portable,78.69,160.03,2023-06-09
P0258,Asteria Electronics 259,Electronics,Essentials,21.83,199.8,2022-11-13
P0259,Asteria Home 260,Home,Portable,24.83,461.3,2023-05-29
P0260,Asteria Fitness 261,Fitness,Portable,138.32,280.38,2024-04-19
P0261,Asteria Beauty 262,Beauty,Accessories,155.95,249.98,2023-10-04
P0262,Asteria Office 263,Office,Portable,84.43,473.85,2024-06-03
P0263,Asteria Outdoors 264,Outdoors,Portable,14.48,119.43,2023-02-20
P0264,Asteria Electronics 265,Electronics,Accessories,15.74,198.23,2023-12-28
P0265,Asteria Home 266,Home,Essentials,109.35,367.63,2023-08-27
P0266,Asteria Fitness 267,Fitness,Premium,165.68,345.73,2022-07-11
P0267,Asteria Beauty 268,Beauty,Portable,74.33,464.42,2023-03-20
P0268,Asteria Office 269,Office,Essentials,118.51,318.21,2022-10-29
P0269,Asteria Outdoors 270,Outdoors,Portable,99.39,158.53,2023-09-26
P0270,Asteria Electronics 271,Electronics,Essentials,160.6,200.75,2022-06-18
P0271,Asteria Home 272,Home,Accessories,150.5,188.12,2022-12-08
P0272,Asteria Fitness 273,Fitness,Accessories,39.09,444.3,2023-05-16
P0273,Asteria Beauty 274,Beauty,Essentials,123.25,154.06,2023-03-26
P0274,Asteria Office 275,Office,Premium,153.16,267.39,2023-02-19
P0275,Asteria Outdoors 276,Outdoors,Essentials,167.72,209.65,2024-02-24
P0276,Asteria Electronics 277,Electronics,Premium,107.83,134.79,2023-12-13
P0277,Asteria Home 278,Home,Portable,34.96,149.12,2022-12-30
P0278,Asteria Fitness 279,Fitness,Essentials,102.25,308.51,2023-07-15
P0279,Asteria Beauty 280,Beauty,Portable,121.18,151.48,2022-10-13
P0280,Asteria Office 281,Office,Accessories,51.96,464.08,2023-05-08
P0281,Asteria Outdoors 282,Outdoors,Accessories,175.25,437.46,2024-05-10
P0282,Asteria Electronics 283,Electronics,Premium,44.36,55.45,2023-01-17
P0283,Asteria Home 284,Home,Portable,164.4,418.39,2023-03-02
P0284,Asteria Fitness 285,Fitness,Premium,78.83,165.77,2023-09-14
P0285,Asteria Beauty 286,Beauty,Accessories,4.1,43.59,2022-10-08
P0286,Asteria Office 287,Office,Essentials,99.62,155.26,2023-09-25
P0287,Asteria Outdoors 288,Outdoors,Portable,114.58,390.56,2024-04-01
P0288,Asteria Electronics 289,Electronics,Accessories,157.01,323.61,2024-03-27
P0289,Asteria Home 290,Home,Essentials,99.14,123.92,2022-07-11
P0290,Asteria Fitness 291,Fitness,Accessories,20.57,348.57,2023-09-05
P0291,Asteria Beauty 292,Beauty,Essentials,167.12,343.26,2023-08-05
P0292,Asteria Office 293,Office,Premium,103.5,359.66,2023-10-31
P0293,Asteria Outdoors 294,Outdoors,Accessories,51.79,265.03,2022-11-19
P0294,Asteria Electronics 295,Electronics,Portable,162.2,395.27,2023-03-05
P0295,Asteria Home 296,Home,Premium,25.28,312.16,2022-07-13
P0296,Asteria Fitness 297,Fitness,Essentials,21.16,70.69,2022-07-17
P0297,Asteria Beauty 298,Beauty,Premium,98.16,391.2,2022-05-02
P0298,Asteria Office 299,Office,Portable,113.98,163.52,2023-10-12
P0299,Asteria Outdoors 300,Outdoors,Portable,93.93,341.96,2023-03-22
P0300,Asteria Electronics 301,Electronics,Essentials,167.5,327.96,2023-09-28
P0301,Asteria Home 302,Home,Essentials,50.26,169.21,2022-12-16
P0302,Asteria Fitness 303,Fitness,Portable,178.28,222.85,2022-11-11
P0303,Asteria Beauty 304,Beauty,Accessories,7.41,337.24,2023-12-13
P0304,Asteria Office 305,Office,Accessories,24.86,409.34,2022-08-14
P0305,Asteria Outdoors 306,Outdoors,Essentials,36.68,404.29,2023-11-12
P0306,Asteria Electronics 307,Electronics,Premium,18.01,305.2,2022-05-07
P0307,Asteria Home 308,Home,Portable,81.13,118.43,2022-08-21
P0308,Asteria Fitness 309,Fitness,Essentials,156.31,195.39,2024-06-17
P0309,Asteria Beauty 310,Beauty,Essentials,148.45,365.17,2023-08-18
P0310,Asteria Office 311,Office,Premium,135.08,204.28,2023-08-26
P0311,Asteria Outdoors 312,Outdoors,Accessories,5.3,354.81,2022-09-13
P0312,Asteria Electronics 313,Electronics,Portable,156.36,195.45,2022-11-30
P0313,Asteria Home 314,Home,Accessories,73.78,92.22,2024-05-22
P0314,Asteria Fitness 315,Fitness,Premium,132.77,294.43,2022-08-29
P0315,Asteria Beauty 316,Beauty,Premium,131.94,293.23,2024-01-09
P0316,Asteria Office 317,Office,Essentials,35.24,305.7,2023-09-10
P0317,Asteria Outdoors 318,Outdoors,Premium,94.71,137.51,2024-02-16
P0318,Asteria Electronics 319,Electronics,Essentials,167.01,391.58,2024-02-26
P0319,Asteria Home 320,Home,Essentials,50.3,240.13,2023-05-07
P0320,Asteria Fitness 321,Fitness,Accessories,129.84,368.8,2024-04-25
P0321,Asteria Beauty 322,Beauty,Premium,172.62,297.99,2024-04-28
P0322,Asteria Office 323,Office,Accessories,67.47,206.72,2022-10-12
P0323,Asteria Outdoors 324,Outdoors,Essentials,72.22,330.07,2023-09-30
P0324,Asteria Electronics 325,Electronics,Accessories,83.65,281.09,2023-01-30
P0325,Asteria Home 326,Home,Essentials,146.39,251.01,2022-05-05
P0326,Asteria Fitness 327,Fitness,Accessories,81.31,315.53,2024-05-22
P0327,Asteria Beauty 328,Beauty,Accessories,89.58,111.98,2022-10-05
P0328,Asteria Office 329,Office,Premium,43.13,438.0,2024-04-05
P0329,Asteria Outdoors 330,Outdoors,Essentials,177.95,222.44,2022-11-01
P0330,Asteria Electronics 331,Electronics,Portable,161.05,201.31,2023-10-31
P0331,Asteria Home 332,Home,Essentials,109.64,373.2,2024-03-15
P0332,Asteria Fitness 333,Fitness,Essentials,173.06,216.32,2024-01-01
P0333,Asteria Beauty 334,Beauty,Premium,124.91,478.02,2023-09-14
P0334,Asteria Office 335,Office,Portable,172.8,216.0,2022-11-26
P0335,Asteria Outdoors 336,Outdoors,Premium,32.43,150.82,2023-01-04
P0336,Asteria Electronics 337,Electronics,Premium,43.68,54.6,2022-11-27
P0337,Asteria Home 338,Home,Accessories,159.79,199.74,2024-06-14
P0338,Asteria Fitness 339,Fitness,Premium,77.9,97.38,2022-05-13
P0339,Asteria Beauty 340,Beauty,Accessories,69.32,86.65,2023-07-20
P0340,Asteria Office 341,Office,Premium,136.76,170.95,2024-04-03
P0341,Asteria Outdoors 342,Outdoors,Accessories,114.94,157.29,2022-06-20
P0342,Asteria Electronics 343,Electronics,Premium,64.56,213.28,2022-10-06
P0343,Asteria Home 344,Home,Premium,74.02,121.01,2024-04-27
P0344,Asteria Fitness 345,Fitness,Premium,75.88,94.85,2023-07-18
P0345,Asteria Beauty 346,Beauty,Premium,26.23,45.3,2022-07-07
P0346,Asteria Office 347,Office,Portable,44.4,97.24,2023-01-02
P0347,Asteria Outdoors 348,Outdoors,Premium,98.61,160.16,2024-01-28
P0348,Asteria Electronics 349,Electronics,Portable,141.6,177.0,2022-12-19
P0349,Asteria Home 350,Home,Accessories,77.75,182.88,2024-02-01
P0350,Asteria Fitness 351,Fitness,Accessories,71.47,443.6,2023-09-24
P0351,Asteria Beauty 352,Beauty,Premium,118.49,148.11,2024-01-27
P0352,Asteria Office 353,Office,Premium,31.68,90.81,2022-12-25
P0353,Asteria Outdoors 354,Outdoors,Portable,71.01,323.12,2022-06-17
P0354,Asteria Electronics 355,Electronics,Essentials,40.63,241.73,2024-05-27
P0355,Asteria Home 356,Home,Accessories,118.69,148.36,2023-03-07
P0356,Asteria Fitness 357,Fitness,Portable,23.78,380.69,2023-12-16
P0357,Asteria Beauty 358,Beauty,Accessories,82.82,346.78,2022-11-09
P0358,Asteria Office 359,Office,Essentials,108.93,469.38,2024-03-12
P0359,Asteria Outdoors 360,Outdoors,Accessories,150.73,451.13,2023-09-12
P0360,Asteria Electronics 361,Electronics,Essentials,131.52,285.43,2024-01-19
