customer_id,signup_date,region,age_group,acquisition_channel,loyalty_tier
C00150,2026-03-16,Central,55+,Email,Bronze
C00151,2025-01-22,East,55+,Email,Silver
C00152,2026-04-30,West,35-44,Paid Search,Bronze
C00153,2025-01-31,West,55+,Social,Silver
C00154,2025-05-13,East,45-54,Social,Bronze
C00155,2025-10-26,Central,18-24,Organic,Bronze
C00156,2024-10-01,South,,Organic,Bronze
C00157,2025-08-11,East,18-24,Email,Silver
C00158,2025-07-04,North,55+,Email,Gold
C00159,2026-01-23,North,25-34,Email,Bronze
C00160,2026-06-27,West,18-24,Paid Search,Gold
C00161,2025-10-28,South,25-34,Social,Bronze
C00162,2025-04-25,South,45-54,Referral,Silver
C00163,2025-04-23,South,55+,Paid Search,Silver
C00164,2025-05-01,East,35-44,Email,Bronze
C00165,2026-02-14,West,18-24,Organic,Bronze
C00166,2025-02-20,Central,55+,Organic,Bronze
C00167,2024-10-30,North,45-54,Referral,Silver
C00168,2025-03-01,East,35-44,Organic,Bronze
C00169,2024-07-17,East,35-44,Email,Gold
C00170,2024-09-16,East,55+,Social,Bronze
C00171,2024-09-04,East,25-34,Referral,Gold
C00172,2026-01-14,South,18-24,Social,Bronze
C00173,2025-12-09,East,18-24,Email,Silver
C00174,2025-11-20,East,45-54,Referral,Bronze
C00175,2025-06-02,East,55+,Referral,Bronze
C00176,2025-12-05,East,45-54,Email,Bronze
C00177,2024-10-26,West,45-54,Organic,Silver
C00178,2026-04-18,West,25-34,Organic,Bronze
C00179,2025-07-01,South,35-44,Social,Silver
C00180,2026-05-15,West,18-24,Email,Platinum
C00181,2024-10-20,West,25-34,Email,Bronze
C00182,2025-06-28,North,45-54,Email,Bronze
C00183,2025-11-20,East,55+,Organic,Bronze
C00184,2025-06-27,South,55+,Organic,Bronze
C00185,2025-05-22,West,55+,Organic,Bronze
C00186,2024-10-30,South,18-24,Social,Silver
C00187,2025-04-04,West,55+,Email,Bronze
C00188,2024-12-22,South,25-34,Organic,Bronze
C00189,2025-02-05,East,45-54,Referral,Silver
C00190,2025-11-11,Central,55+,Paid Search,Bronze
C00191,2025-10-03,South,55+,Email,Silver
C00192,2025-09-16,West,45-54,Email,Gold
C00193,2025-03-21,Central,25-34,Organic,Bronze
C00194,2026-05-31,West,35-44,Referral,Bronze
C00195,2024-09-02,North,45-54,Referral,Silver
C00196,2025-03-07,West,,Referral,Silver
C00197,2024-09-25,North,35-44,Organic,Silver
C00198,2025-03-05,South,35-44,Paid Search,Silver
C00199,2026-06-02,West,35-44,Paid Search,Bronze
C00200,2025-03-25,West,18-24,Social,Bronze
C00201,2026-04-24,East,55+,Referral,Silver
C00202,2025-06-26,South,18-24,Email,Silver
C00203,2025-11-23,West,55+,Email,Silver
C00204,2025-05-30,West,18-24,Social,Bronze
C00205,2025-01-10,East,35-44,Referral,Silver
C00206,2026-01-09,Central,35-44,Referral,Bronze
C00207,2026-06-07,North,35-44,Referral,Bronze
C00208,2025-01-09,North,35-44,Referral,Bronze
C00209,2026-01-19,West,55+,Email,Bronze
C00210,2025-01-07,Central,18-24,Organic,Silver
C00211,2025-12-05,South,55+,Paid Search,Bronze
C00212,2026-01-27,South,45-54,Email,Silver
C00213,2025-05-24,North,45-54,Paid Search,Bronze
C00214,2025-12-20,West,18-24,Organic,Bronze
C00215,2025-01-15,North,18-24,Referral,Bronze
C00216,2024-08-27,East,25-34,Social,Bronze
C00217,2024-09-09,Central,25-34,Referral,Silver
C00218,2025-05-22,North,45-54,Paid Search,Bronze
C00219,2026-04-19,East,55+,Paid Search,Bronze
C00220,2024-10-02,East,35-44,Paid Search,Bronze
C00221,2025-05-29,West,45-54,Paid Search,Bronze
C00222,2025-11-26,South,18-24,Social,Bronze
C00223,2024-11-25,South,45-54,Paid Search,Platinum
C00224,2025-12-09,North,18-24,Referral,Bronze
C00225,2025-02-09,West,45-54,Paid Search,Bronze
C00226,2026-02-10,West,25-34,Social,Gold
C00227,2025-08-27,North,35-44,Referral,Silver
C00228,2025-08-03,South,25-34,Social,Bronze
C00229,2024-11-06,Central,35-44,Organic,Silver
C00230,2025-06-03,North,55+,Organic,Gold
C00231,2026-03-17,South,55+,Social,Bronze
C00232,2024-07-15,East,25-34,Email,Bronze
C00233,2026-01-04,South,25-34,Referral,Gold
C00234,2025-06-25,South,35-44,Organic,Silver
C00235,2025-12-07,East,45-54,Social,Platinum
C00236,2025-10-27,North,18-24,Paid Search,Bronze
C00237,2025-05-11,East,45-54,Social,Gold
C00238,2025-02-11,West,55+,Social,Bronze
C00239,2025-10-01,East,55+,Paid Search,Silver
C00240,2024-10-11,North,35-44,Organic,Gold
C00241,2025-08-30,West,25-34,Organic,Bronze
C00242,2024-09-08,North,25-34,Social,Bronze
C00243,2025-10-17,West,45-54,Paid Search,Silver
C00244,2025-10-02,South,35-44,Paid Search,Gold
C00245,2024-08-31,West,18-24,Organic,Bronze
C00246,2026-01-04,North,45-54,Organic,Gold
C00247,2025-04-30,North,18-24,Organic,Bronze
C00248,2026-01-25,East,55+,Paid Search,Bronze
C00249,2024-07-31,North,35-44,Organic,Bronze
C00250,2024-11-08,North,25-34,Paid Search,Gold
C00251,2025-06-26,West,18-24,Paid Search,Bronze
C00252,2024-11-15,West,18-24,Paid Search,Silver
C00253,2025-02-26,North,55+,Organic,Bronze
C00254,2025-10-25,Central,35-44,Organic,Gold
C00255,2024-10-14,West,55+,Referral,Silver
C00256,2025-11-07,West,55+,Email,Bronze
C00257,2024-09-14,West,18-24,Organic,Bronze
C00258,2024-11-05,West,25-34,Paid Search,Bronze
C00259,2025-09-02,East,55+,Paid Search,Bronze
C00260,2026-01-30,West,35-44,Referral,Silver
C00261,2024-11-02,Central,35-44,Referral,Silver
C00262,2025-02-04,North,35-44,Email,Bronze
C00263,2026-05-06,South,45-54,Organic,Silver
C00264,2026-06-22,North,,Social,Bronze
C00265,2025-08-28,Central,55+,Social,Bronze
C00266,2025-05-22,East,45-54,Email,Bronze
C00267,2025-03-10,West,35-44,Referral,Bronze
C00268,2025-09-20,West,25-34,Paid Search,Silver
C00269,2025-09-04,Central,18-24,Social,Bronze
C00270,2025-01-31,North,45-54,Paid Search,Silver
C00271,2024-07-17,West,18-24,Paid Search,Bronze
C00272,2024-10-19,Central,45-54,Paid Search,Silver
C00273,2026-05-30,North,35-44,Email,Bronze
C00274,2025-05-01,West,45-54,Social,Bronze
C00275,2025-06-17,South,55+,Email,Bronze
C00276,2025-06-06,West,35-44,Email,Bronze
C00277,2026-01-22,East,35-44,Paid Search,Bronze
C00278,2024-08-17,South,35-44,Referral,Bronze
C00279,2024-08-30,North,25-34,Organic,Silver
C00280,2025-01-18,North,18-24,Referral,Bronze
C00281,2025-06-20,North,18-24,Organic,Silver
C00282,2025-11-02,West,,Paid Search,Silver
C00283,2025-06-23,South,55+,Referral,Bronze
C00284,2025-05-18,North,18-24,Email,Silver
C00285,2026-05-15,West,25-34,Paid Search,Bronze
C00286,2024-10-26,West,45-54,Referral,Silver
C00287,2025-08-21,East,45-54,Organic,Silver
C00288,2025-07-31,Central,45-54,Email,Silver
C00289,2025-06-11,South,45-54,Social,Bronze
C00290,2026-02-09,West,18-24,Paid Search,Silver
C00291,2025-01-11,North,25-34,Referral,Bronze
C00292,2026-05-27,West,35-44,Email,Bronze
C00293,2025-02-27,Central,18-24,Organic,Bronze
C00294,2025-08-02,West,25-34,Organic,Bronze
C00295,2025-07-15,East,25-34,Organic,Silver
C00296,2026-03-12,East,55+,Social,Gold
C00297,2025-05-16,South,25-34,Social,Bronze
C00298,2025-01-24,West,55+,Email,Silver
C00299,2024-07-16,West,45-54,Email,Silver
C00300,2025-03-23,Central,45-54,Organic,Gold
C00301,2026-02-23,East,55+,Social,Silver
C00302,2024-07-08,North,55+,Email,Bronze
C00303,2026-04-15,East,25-34,Referral,Bronze
C00304,2025-07-31,North,35-44,Paid Search,Silver
C00305,2024-10-11,South,35-44,Organic,Bronze
C00306,2025-02-06,South,55+,Organic,Gold
C00307,2025-08-08,West,18-24,Paid Search,Gold
C00308,2025-02-16,North,35-44,Social,Gold
C00309,2024-09-18,North,25-34,Paid Search,Bronze
C00310,2025-10-29,North,25-34,Organic,Silver
C00311,2025-11-03,West,45-54,Paid Search,Silver
C00312,2024-09-25,West,25-34,Paid Search,Bronze
C00313,2025-01-22,North,45-54,Social,Bronze
C00314,2024-12-25,North,55+,Organic,Bronze
C00315,2025-10-24,East,45-54,Email,Bronze
C00316,2025-12-15,South,18-24,Social,Gold
C00317,2025-12-12,East,18-24,Paid Search,Gold
C00318,2026-05-16,East,35-44,Referral,Bronze
C00319,2026-01-12,Central,35-44,Email,Bronze
C00320,2025-02-19,South,45-54,Organic,Bronze
C00321,2024-09-17,West,35-44,Organic,Bronze
C00322,2025-09-22,North,18-24,Organic,Bronze
C00323,2026-04-29,Central,55+,Social,Silver
C00324,2026-06-11,Central,55+,Paid Search,Silver
C00325,2024-12-15,West,45-54,Paid Search,Gold
C00326,2024-12-20,East,45-54,Social,Gold
C00327,2024-07-28,North,55+,Social,Bronze
C00328,2024-10-11,West,35-44,Organic,Silver
C00329,2025-08-09,West,18-24,Organic,Bronze
C00330,2025-08-03,North,45-54,Email,Bronze
C00331,2025-03-28,East,35-44,Referral,Bronze
C00332,2025-02-11,East,45-54,Referral,Bronze
C00333,2026-02-25,West,45-54,Referral,Bronze
C00334,2025-06-01,West,35-44,Social,Bronze
C00335,2026-02-10,West,25-34,Referral,Bronze
C00336,2026-06-03,West,35-44,Referral,Gold
C00337,2025-02-17,South,45-54,Referral,Bronze
C00338,2024-11-25,South,45-54,Organic,Bronze
C00339,2026-05-26,North,35-44,Organic,Platinum
C00340,2025-10-06,West,35-44,Social,Silver
C00341,2025-01-29,East,55+,Social,Bronze
C00342,2025-09-27,East,25-34,Referral,Gold
C00343,2025-07-11,South,18-24,Paid Search,Bronze
C00344,2026-04-22,North,45-54,Referral,Bronze
C00345,2025-01-03,East,55+,Referral,Bronze
C00346,2026-06-23,South,45-54,Referral,Bronze
C00347,2026-05-14,North,35-44,Organic,Silver
C00348,2024-11-09,West,25-34,Paid Search,Bronze
C00349,2024-10-28,South,35-44,Paid Search,Silver
C00350,2025-07-24,South,18-24,Email,Silver
C00351,2024-08-02,East,35-44,Email,Platinum
C00352,2025-02-03,West,25-34,Social,Bronze
C00353,2025-05-14,South,25-34,Organic,Bronze
C00354,2026-06-07,West,35-44,Social,Gold
C00355,2026-06-24,Central,55+,Email,Silver
C00356,2024-10-19,West,25-34,Social,Bronze
C00357,2026-04-12,East,55+,Paid Search,Bronze
C00358,2024-09-05,West,35-44,Social,Silver
C00359,2025-12-28,East,55+,Email,Silver
C00360,2026-03-09,South,25-34,Social,Silver
C00361,2026-04-11,East,55+,Referral,Gold
C00362,2024-12-10,South,45-54,Paid Search,Bronze
C00363,2026-04-13,North,45-54,Email,Bronze
C00364,2024-09-23,South,35-44,Referral,Silver
C00365,2025-07-14,North,35-44,Paid Search,Gold
C00366,2025-06-08,South,35-44,Paid Search,Bronze
C00367,2025-02-16,East,55+,Organic,Silver
C00368,2024-07-17,Central,45-54,Paid Search,Bronze
C00369,2026-01-14,North,18-24,Organic,Bronze
C00370,2025-03-02,East,45-54,Email,Gold
C00371,2025-10-26,East,55+,Organic,Bronze
C00372,2025-04-26,North,45-54,Email,Bronze
C00373,2025-03-30,South,35-44,Social,Silver
C00374,2026-04-08,North,25-34,Referral,Bronze
C00375,2024-09-07,North,45-54,Paid Search,Bronze
C00376,2025-12-19,South,45-54,Paid Search,Silver
C00377,2025-12-27,South,25-34,Paid Search,Bronze
C00378,2025-04-04,East,35-44,Social,Silver
C00379,2025-01-08,North,25-34,Paid Search,Bronze
C00380,2024-07-04,North,18-24,Organic,Bronze
C00381,2026-05-14,North,18-24,Referral,Silver
C00382,2026-05-22,East,18-24,Email,Bronze
C00383,2024-12-23,South,35-44,Organic,Gold
C00384,2024-07-24,East,35-44,Email,Gold
C00385,2024-09-28,North,35-44,Paid Search,Gold
C00386,2024-08-19,North,55+,Organic,Bronze
C00387,2026-02-26,Central,25-34,Social,Bronze
C00388,2026-04-12,North,25-34,Email,Gold
C00389,2024-10-20,North,25-34,Organic,Bronze
C00390,2025-12-27,North,25-34,Paid Search,Silver
C00391,2024-11-08,Central,35-44,Referral,Silver
C00392,2025-03-25,East,25-34,Paid Search,Bronze
C00393,2025-09-10,East,25-34,Organic,Bronze
C00394,2025-12-07,Central,45-54,Social,Silver
C00395,2026-03-30,North,55+,Email,Silver
C00396,2024-08-02,Central,25-34,Referral,Bronze
C00397,2024-11-21,North,18-24,Email,Silver
C00398,2025-01-21,East,25-34,Organic,Silver
C00399,2025-02-12,East,35-44,Referral,Bronze
C00400,2026-06-28,South,55+,Email,Bronze
C00401,2026-01-18,Central,18-24,Email,Silver
C00402,2025-02-19,North,18-24,Referral,Silver
C00403,2026-06-09,Central,35-44,Email,Gold
C00404,2025-06-29,South,55+,Paid Search,Bronze
C00405,2025-07-01,West,35-44,Social,Gold
C00406,2025-05-13,Central,55+,Social,Silver
C00407,2024-10-13,North,45-54,Social,Silver
C00408,2026-05-13,Central,18-24,Email,Bronze
C00409,2024-07-11,East,35-44,Email,Bronze
C00410,2024-11-05,West,45-54,Organic,Bronze
C00411,2024-12-15,North,35-44,Social,Bronze
C00412,2025-01-20,East,18-24,Organic,Bronze
C00413,2024-10-05,West,18-24,Social,Gold
C00414,2024-07-14,East,45-54,Social,Bronze
C00415,2025-11-07,North,35-44,Paid Search,Gold
C00416,2026-06-07,South,35-44,Referral,Bronze
C00417,2024-09-27,West,25-34,Paid Search,Gold
C00418,2025-02-02,North,25-34,Organic,Bronze
C00419,2025-07-05,West,45-54,Paid Search,Silver
C00420,2026-05-08,Central,18-24,Email,Silver
C00421,2025-11-19,North,35-44,Organic,Gold
C00422,2026-01-10,North,25-34,Social,Bronze
C00423,2025-08-28,West,45-54,Social,Bronze
C00424,2025-05-01,North,45-54,Referral,Gold
C00425,2024-11-23,East,35-44,Organic,Bronze
C00426,2026-03-23,West,25-34,Organic,Silver
C00427,2026-02-07,East,25-34,Social,Bronze
C00428,2024-07-19,South,25-34,Organic,Bronze
C00429,2025-12-04,West,25-34,Email,Silver
C00430,2024-08-31,East,45-54,Paid Search,Silver
C00431,2025-12-21,North,18-24,Social,Silver
C00432,2026-02-23,East,18-24,Organic,Bronze
C00433,2024-10-04,Central,35-44,Email,Silver
C00434,2025-05-13,West,25-34,Social,Platinum
C00435,2024-09-29,East,55+,Organic,Bronze
C00436,2025-08-18,South,45-54,Paid Search,Bronze
C00437,2026-05-08,North,45-54,Organic,Bronze
C00438,2024-08-28,South,35-44,Organic,Silver
C00439,2025-04-16,North,35-44,Email,Bronze
C00440,2026-06-10,Central,35-44,Social,Silver
C00441,2025-02-05,North,18-24,Referral,Bronze
C00442,2024-10-05,West,35-44,Paid Search,Silver
C00443,2025-06-22,North,55+,Email,Silver
C00444,2025-07-06,South,25-34,Email,Bronze
C00445,2025-10-27,South,18-24,Email,Bronze
C00446,2025-02-14,South,35-44,Referral,Bronze
C00447,2026-05-28,West,25-34,Email,Bronze
C00448,2025-07-15,Central,45-54,Email,Bronze
C00449,2025-01-25,West,55+,Email,Gold
C00450,2026-06-01,North,55+,Social,Bronze
C00451,2026-05-06,West,25-34,Email,Bronze
C00452,2025-06-29,North,55+,Referral,Bronze
C00453,2024-07-19,Central,18-24,Email,Bronze
C00454,2025-09-09,East,,Email,Gold
C00455,2025-08-09,South,25-34,Organic,Bronze
C00456,2024-10-17,North,55+,Social,Bronze
C00457,2025-10-06,North,45-54,Organic,Bronze
C00458,2026-03-05,South,25-34,Organic,Gold
C00459,2024-09-16,Central,18-24,Paid Search,Gold
C00460,2025-12-10,West,45-54,Social,Bronze
C00461,2024-10-11,Central,45-54,Social,Silver
C00462,2025-12-28,North,55+,Referral,Silver
C00463,2025-05-02,East,35-44,Email,Silver
C00464,2024-07-05,South,18-24,Social,Bronze
C00465,2026-06-05,East,25-34,Paid Search,Silver
C00466,2024-10-29,South,45-54,Email,Silver
C00467,2025-09-08,South,25-34,Paid Search,Bronze
C00468,2024-11-10,East,18-24,Referral,Bronze
C00469,2026-05-12,North,55+,Email,Bronze
C00470,2025-12-21,East,35-44,Email,Bronze
C00471,2026-02-07,West,25-34,Paid Search,Bronze
C00472,2025-05-11,North,35-44,Email,Silver
C00473,2025-06-06,Central,45-54,Referral,Gold
C00474,2025-10-06,East,,Organic,Bronze
C00475,2026-01-24,West,35-44,Organic,Bronze
C00476,2026-03-10,West,25-34,Social,Silver
C00477,2024-07-14,West,18-24,Paid Search,Bronze
C00478,2025-10-27,West,18-24,Email,Bronze
C00479,2024-09-18,West,35-44,Social,Silver
C00480,2025-01-26,East,35-44,Referral,Bronze
C00481,2026-02-25,South,35-44,Paid Search,Bronze
C00482,2024-12-30,North,45-54,Paid Search,Silver
C00483,2026-02-01,East,35-44,Organic,Silver
C00484,2025-06-03,North,35-44,Paid Search,Bronze
C00485,2024-12-17,South,55+,Paid Search,Silver
C00486,2025-03-01,North,45-54,Email,Gold
C00487,2025-07-22,East,55+,Paid Search,Bronze
C00488,2026-01-09,North,25-34,Paid Search,Silver
C00489,2025-09-15,East,45-54,Paid Search,Bronze
C00490,2026-05-12,West,45-54,Social,Bronze
C00491,2026-03-25,West,35-44,Email,Bronze
C00492,2026-01-01,South,18-24,Referral,Bronze
C00493,2025-09-13,East,35-44,Organic,Bronze
C00494,2025-01-28,East,55+,Referral,Silver
C00495,2025-04-27,East,45-54,Paid Search,Bronze
C00496,2024-09-25,West,18-24,Referral,Gold
C00497,2025-03-30,North,25-34,Organic,Bronze
C00498,2026-05-07,Central,35-44,Email,Gold
C00499,2025-05-07,North,55+,Referral,Bronze
C00500,2024-09-21,West,35-44,Organic,Bronze
C00501,2025-10-19,East,55+,Email,Silver
C00502,2026-06-02,South,45-54,Organic,Silver
C00503,2026-03-25,West,25-34,Referral,Bronze
C00504,2025-01-16,North,18-24,Email,Bronze
C00505,2025-05-27,West,55+,Referral,Silver
C00506,2025-07-23,East,35-44,Referral,Silver
C00507,2024-12-28,North,55+,Paid Search,Bronze
C00508,2025-01-12,North,55+,Social,Silver
C00509,2024-12-20,West,35-44,Email,Bronze
C00510,2026-06-26,South,18-24,Organic,Bronze
C00511,2025-12-26,Central,55+,Paid Search,Silver
C00512,2026-03-05,West,35-44,Organic,Platinum
C00513,2026-02-16,West,18-24,Referral,Bronze
C00514,2026-05-31,South,35-44,Paid Search,Bronze
C00515,2024-09-15,West,18-24,Social,Bronze
C00516,2026-04-04,Central,25-34,Social,Silver
C00517,2024-08-18,North,25-34,Paid Search,Bronze
C00518,2025-06-12,South,35-44,Email,Bronze
C00519,2025-09-07,South,35-44,Referral,Bronze
C00520,2025-03-18,South,55+,Social,Gold
C00521,2024-10-15,West,25-34,Referral,Bronze
C00522,2024-11-18,East,45-54,Organic,Silver
C00523,2026-02-22,East,55+,Referral,Bronze
C00524,2025-02-18,South,45-54,Organic,Bronze
C00525,2025-02-12,North,25-34,Organic,Bronze
C00526,2026-05-05,South,45-54,Organic,Bronze
C00527,2024-10-13,West,25-34,Paid Search,Bronze
C00528,2026-04-29,East,35-44,Referral,Bronze
C00529,2026-05-03,South,45-54,Paid Search,Bronze
C00530,2025-09-10,West,25-34,Email,Bronze
C00531,2024-10-29,North,18-24,Social,Bronze
C00532,2024-10-22,South,55+,Organic,Bronze
C00533,2025-01-24,South,45-54,Social,Bronze
C00534,2025-08-25,Central,18-24,Paid Search,Bronze
C00535,2024-10-20,West,25-34,Paid Search,Silver
C00536,2025-05-29,East,25-34,Social,Gold
C00537,2024-09-23,North,55+,Email,Silver
C00538,2025-07-29,North,55+,Social,Bronze
C00539,2024-07-16,West,45-54,Paid Search,Platinum
C00540,2025-11-29,South,35-44,Email,Platinum
C00541,2024-08-10,Central,18-24,Email,Bronze
C00542,2024-11-20,West,25-34,Paid Search,Bronze
C00543,2024-11-05,East,18-24,Referral,Silver
C00544,2026-02-26,West,45-54,Referral,Gold
C00545,2024-08-08,Central,18-24,Email,Silver
