session_id,customer_id,session_date,channel,device,pages_viewed,added_to_cart,purchased
S000047,C00260,2024-10-05,Organic,Desktop,5,True,False
S000048,C03677,2026-06-06,Email,Mobile,5,True,False
S000049,C01224,2025-04-13,Email,Mobile,9,False,False
S000050,C01136,2025-04-21,Social,Mobile,5,False,True
S000051,C03796,2025-09-18,Organic,Mobile,9,False,True
S000052,C00466,2025-05-01,Paid Search,Tablet,7,False,False
S000053,C01858,2024-10-29,Social,Desktop,3,False,False
S000054,C00198,2025-08-15,Social,Mobile,3,False,False
S000055,C04990,2024-07-29,Email,Tablet,11,True,False
S000056,C01597,2025-08-09,Paid Search,Tablet,8,False,False
S000057,C03142,2025-01-10,Referral,Mobile,8,False,False
S000058,C04575,2025-02-19,Social,Tablet,7,True,False
S000059,C04005,2025-11-18,Paid Search,Desktop,4,False,False
S000060,C03794,2024-10-01,Social,Mobile,8,False,False
S000061,C02429,2025-04-30,Referral,Mobile,9,True,False
S000062,C02737,2025-05-12,Paid Search,Mobile,7,False,False
S000063,C00309,2026-03-03,Social,Mobile,3,False,True
S000064,C00072,2025-05-04,Email,Mobile,5,True,False
S000065,C04282,2026-06-20,Paid Search,Desktop,7,True,True
S000066,C03373,2025-08-13,Email,Mobile,9,False,False
S000067,C00238,2025-07-29,Email,Tablet,8,False,False
S000068,C02590,2025-12-04,Email,Mobile,3,False,False
S000069,C00024,2026-05-02,Email,Desktop,11,False,False
S000070,C02241,2025-07-04,Referral,Tablet,9,False,False
S000071,C03842,2025-05-09,Organic,Mobile,3,True,True
S000072,C02688,2025-09-29,Referral,Mobile,5,False,False
S000073,C02924,2026-05-18,Social,Mobile,8,False,False
S000074,C01204,2025-03-08,Referral,Mobile,5,False,False
S000075,C02624,2024-09-07,Social,Desktop,4,False,False
S000076,C03298,2026-02-11,Social,Tablet,4,False,False
S000077,C00794,2025-10-11,Referral,Mobile,7,True,False
S000078,C03119,2024-09-01,Email,Mobile,5,False,False
S000079,C04463,2026-01-03,Paid Search,Desktop,7,False,False
S000080,C04636,2025-03-27,Referral,Mobile,2,False,False
S000081,C00789,2025-02-05,Organic,Tablet,3,True,False
S000082,C01439,2026-02-11,Email,Mobile,10,True,False
S000083,C02402,2026-01-30,Referral,Tablet,3,False,False
S000084,C03017,2025-02-25,Paid Search,Desktop,6,True,False
S000085,C02000,2024-11-15,Organic,Mobile,8,True,True
S000086,C01823,2024-11-01,Referral,Desktop,6,False,False
S000087,C00589,2025-05-25,Social,Tablet,8,False,False
S000088,C00977,2025-05-21,Referral,Mobile,5,True,False
S000089,C00705,2024-07-19,Email,Mobile,7,False,False
S000090,C02117,2025-08-17,Organic,Desktop,6,True,False
S000091,C01362,2025-03-09,Email,Desktop,5,False,True
S000092,C04557,2025-05-11,Email,Mobile,4,False,False
S000093,C00384,2024-11-10,Social,Mobile,10,False,False
S000094,C01896,2024-12-05,Email,Desktop,6,False,True
S000095,C01051,2026-04-12,Paid Search,Desktop,3,True,False
S000096,C04146,2025-11-27,Organic,Mobile,6,False,False
S000097,C02159,2026-03-18,Email,Mobile,9,False,True
S000098,C04844,2024-08-10,Referral,Desktop,5,False,False
S000099,C01205,2025-04-04,Referral,Mobile,5,False,True
S000100,C02421,2025-12-30,Organic,Desktop,8,True,False
S000101,C01692,2025-09-01,Email,Desktop,3,False,False
S000102,C03658,2025-02-21,Organic,Mobile,5,False,True
S000103,C00732,2025-10-24,Social,Mobile,4,False,False
S000104,C00512,2025-04-08,Referral,Desktop,3,True,False
S000105,C03078,2025-01-24,Organic,Mobile,4,True,False
S000106,C01803,2025-03-06,Social,Mobile,5,False,False
S000107,C02308,2025-09-15,Organic,Tablet,9,False,False
S000108,C03506,2025-12-31,Email,Mobile,6,False,False
S000109,C04263,2026-06-19,Paid Search,Mobile,6,False,False
S000110,C03670,2026-03-09,Email,Desktop,7,False,False
S000111,C04094,2025-12-12,Email,Desktop,7,True,True
S000112,C01437,2024-11-07,Social,Mobile,7,False,False
S000113,C04887,2025-01-08,Organic,Mobile,10,False,False
S000114,C01135,2024-07-06,Social,Mobile,9,True,False
S000115,C04832,2025-10-14,Email,Mobile,4,False,False
S000116,C02004,2024-09-29,Social,Mobile,6,True,False
S000117,C03269,2025-02-08,Organic,Desktop,3,False,False
S000118,C00439,2024-08-25,Social,Mobile,11,False,False
S000119,C01251,2025-06-22,Organic,Mobile,6,False,False
S000120,C00997,2026-03-22,Email,Mobile,9,False,False
S000121,C03399,2025-09-15,Referral,Desktop,2,False,False
S000122,C03017,2025-06-16,Social,Mobile,3,False,False
S000123,C03507,2025-07-14,Paid Search,Desktop,5,False,False
S000124,C00498,2026-02-09,Email,Desktop,2,False,False
S000125,C04441,2024-10-14,Social,Mobile,9,False,False
S000126,C03597,2025-06-27,Social,Desktop,2,False,False
S000127,C01876,2025-02-08,Email,Desktop,7,False,False
S000128,C03851,2026-06-10,Referral,Desktop,4,False,False
S000129,C01732,2024-07-10,Email,Desktop,7,False,False
S000130,C01351,2026-04-05,Social,Desktop,2,False,False
S000131,C02634,2024-07-05,Email,Mobile,3,False,True
S000132,C04566,2025-03-26,Organic,Desktop,3,True,False
S000133,C01699,2026-01-15,Social,Desktop,9,False,False
S000134,C04105,2024-10-03,Paid Search,Desktop,6,False,False
S000135,C02111,2025-04-22,Organic,Mobile,6,True,True
S000136,C01050,2025-03-12,Paid Search,Desktop,8,False,True
S000137,C00062,2025-07-18,Email,Desktop,7,False,False
S000138,C00506,2025-04-30,Paid Search,Mobile,8,False,False
S000139,C02479,2024-12-30,Organic,Tablet,10,False,False
S000140,C03772,2026-06-03,Social,Mobile,8,False,False
S000141,C04478,2026-06-24,Referral,Mobile,5,True,False
S000142,C00583,2024-11-08,Social,Mobile,8,False,False
S000143,C01675,2025-02-23,Social,Mobile,2,True,False
S000144,C03632,2024-10-26,Referral,Mobile,4,False,True
S000145,C02080,2025-11-14,Social,Mobile,5,False,False
S000146,C02451,2026-01-11,Email,Mobile,4,False,False
S000147,C02412,2024-11-28,Referral,Desktop,7,False,False
S000148,C04435,2024-08-10,Referral,Desktop,7,False,False
S000149,C00831,2025-08-09,Organic,Mobile,6,True,False
S000150,C02595,2026-02-10,Paid Search,Mobile,5,False,False
S000151,C03228,2024-09-02,Paid Search,Mobile,9,False,False
S000152,C03687,2025-09-08,Organic,Desktop,6,False,False
S000153,C00172,2026-06-28,Social,Desktop,7,False,False
S000154,C03959,2025-06-28,Organic,Desktop,4,True,False
S000155,C04193,2025-02-19,Organic,Desktop,3,True,False
S000156,C03025,2025-02-15,Email,Mobile,7,False,True
S000157,C04109,2025-09-15,Paid Search,Mobile,8,False,False
S000158,C00694,2025-06-12,Social,Mobile,6,False,False
S000159,C04159,2025-04-07,Referral,Mobile,4,False,False
S000160,C01670,2024-08-02,Email,Desktop,3,False,False
S000161,C04612,2025-12-11,Paid Search,Mobile,11,False,False
S000162,C01678,2025-03-18,Email,Mobile,7,True,False
S000163,C00725,2025-06-30,Referral,Desktop,4,True,False
S000164,C02401,2025-12-08,Social,Tablet,5,True,False
S000165,C01788,2026-05-29,Organic,Mobile,4,False,False
S000166,C01732,2026-03-30,Referral,Mobile,4,False,False
S000167,C01316,2026-02-14,Paid Search,Mobile,5,False,False
S000168,C04186,2025-08-24,Email,Desktop,4,True,True
S000169,C03217,2026-04-09,Referral,Mobile,8,False,False
S000170,C01541,2024-08-02,Email,Mobile,4,False,True
S000171,C04610,2024-09-03,Referral,Mobile,7,False,False
S000172,C02280,2025-07-21,Social,Mobile,10,False,False
S000173,C04722,2026-06-09,Email,Tablet,9,False,False
S000174,C02903,2025-03-27,Paid Search,Mobile,4,False,False
S000175,C02076,2025-01-22,Organic,Desktop,6,False,False
S000176,C02934,2026-04-05,Organic,Tablet,5,False,True
S000177,C02565,2024-12-09,Paid Search,Mobile,8,False,False
S000178,C01005,2025-07-29,Social,Mobile,5,True,False
S000179,C02270,2025-11-25,Organic,Mobile,8,True,False
S000180,C00796,2024-09-02,Paid Search,Desktop,10,False,False
S000181,C02578,2025-08-27,Referral,Desktop,6,True,False
S000182,C04424,2025-12-30,Social,Desktop,2,True,False
S000183,C00778,2026-05-10,Social,Mobile,4,False,False
S000184,C04305,2026-01-13,Email,Desktop,5,True,True
S000185,C00634,2025-09-07,Social,Mobile,8,False,False
S000186,C04485,2026-02-17,Referral,Mobile,5,True,False
S000187,C02675,2026-03-07,Social,Desktop,6,False,False
S000188,C02650,2024-10-24,Organic,Desktop,8,True,False
S000189,C02763,2026-04-04,Referral,Mobile,6,False,False
S000190,C01557,2025-06-26,Organic,Mobile,8,False,False
S000191,C00046,2025-06-05,Referral,Desktop,5,False,False
S000192,C03056,2024-07-20,Referral,Mobile,7,False,True
S000193,C02148,2025-01-13,Organic,Tablet,8,False,False
S000194,C04457,2025-03-09,Referral,Mobile,5,True,False
S000195,C02076,2024-11-26,Social,Desktop,7,False,False
S000196,C04845,2026-05-04,Social,Desktop,6,True,True
S000197,C03588,2026-04-22,Referral,Mobile,7,False,False
S000198,C03968,2024-07-07,Paid Search,Mobile,6,False,False
S000199,C04943,2024-12-13,Email,Mobile,6,False,False
S000200,C00052,2024-07-11,Social,Mobile,7,False,True
S000201,C02994,2025-05-11,Organic,Desktop,7,False,False
S000202,C00413,2026-02-05,Paid Search,Tablet,6,False,False
S000203,C04246,2025-08-17,Paid Search,Mobile,5,False,False
S000204,C00446,2025-04-05,Organic,Mobile,8,False,False
S000205,C04092,2026-02-08,Organic,Tablet,5,False,False
S000206,C03453,2025-10-24,Email,Mobile,5,False,False
S000207,C01199,2025-01-26,Referral,Mobile,7,False,False
S000208,C04464,2024-07-23,Referral,Mobile,8,False,False
S000209,C00725,2026-05-01,Email,Mobile,6,True,False
S000210,C02272,2025-12-18,Paid Search,Mobile,5,True,False
S000211,C01608,2025-01-05,Paid Search,Desktop,7,False,False
S000212,C01498,2024-12-02,Paid Search,Mobile,6,False,False
S000213,C00945,2024-11-06,Organic,Mobile,7,True,False
S000214,C02746,2026-02-13,Social,Mobile,10,True,False
S000215,C02963,2025-03-29,Referral,Mobile,3,False,False
S000216,C01129,2024-07-12,Social,Mobile,7,True,True
S000217,C04903,2025-11-06,Referral,Mobile,5,True,False
S000218,C03735,2024-12-30,Paid Search,Mobile,5,False,False
S000219,C03288,2025-07-11,Paid Search,Desktop,3,False,True
S000220,C02156,2025-09-03,Organic,Desktop,6,False,False
S000221,C03401,2025-08-22,Paid Search,Desktop,4,False,True
S000222,C04572,2026-04-03,Paid Search,Mobile,3,False,True
S000223,C02223,2025-12-13,Organic,Mobile,9,False,True
S000224,C02064,2026-01-14,Organic,Mobile,4,False,False
S000225,C04902,2026-05-05,Email,Mobile,8,False,False
S000226,C02014,2024-10-09,Organic,Mobile,6,False,False
S000227,C00203,2025-06-26,Paid Search,Desktop,5,True,False
S000228,C02939,2025-09-14,Paid Search,Desktop,7,False,False
S000229,C00916,2025-10-25,Paid Search,Mobile,6,False,False
S000230,C02360,2024-07-25,Referral,Mobile,7,True,False
S000231,C01503,2025-05-12,Paid Search,Desktop,5,False,False
S000232,C03740,2026-02-05,Organic,Mobile,6,True,False
S000233,C00959,2025-10-26,Paid Search,Desktop,6,False,False
S000234,C02374,2026-05-09,Social,Desktop,9,False,False
S000235,C00865,2025-02-28,Social,Desktop,8,True,False
S000236,C04649,2024-11-30,Referral,Desktop,4,False,False
S000237,C04697,2025-04-10,Organic,Mobile,9,False,True
S000238,C04391,2026-04-12,Email,Desktop,6,False,False
S000239,C00333,2026-05-11,Email,Desktop,9,False,False
S000240,C04192,2024-10-04,Social,Tablet,3,False,False
S000241,C02504,2025-01-29,Referral,Mobile,5,True,False
S000242,C01517,2025-02-25,Email,Desktop,4,False,False
S000243,C02326,2026-01-29,Organic,Desktop,3,True,False
S000244,C02789,2024-08-24,Paid Search,Desktop,5,False,True
S000245,C04465,2025-02-06,Organic,Desktop,6,False,False
S000246,C00996,2026-05-06,Social,Desktop,5,False,False
S000247,C03570,2026-04-17,Email,Tablet,7,False,False
S000248,C03904,2025-03-14,Paid Search,Desktop,5,False,False
S000249,C02395,2025-03-18,Social,Mobile,8,False,False
S000250,C02788,2025-09-21,Referral,Tablet,3,False,False
S000251,C01853,2026-06-26,Paid Search,Mobile,6,True,False
S000252,C04908,2025-06-09,Organic,Mobile,3,True,False
S000253,C04137,2026-05-26,Referral,Mobile,6,False,False
S000254,C02133,2026-02-08,Paid Search,Mobile,6,True,False
S000255,C02295,2026-02-12,Paid Search,Mobile,6,False,False
S000256,C00250,2026-04-23,Email,Desktop,11,False,False
S000257,C04495,2024-09-17,Referral,Desktop,7,False,False
S000258,C04323,2024-09-29,Social,Tablet,5,True,False
S000259,C01083,2025-03-20,Paid Search,Desktop,6,False,False
S000260,C02468,2025-08-17,Organic,Desktop,4,False,False
S000261,C04121,2025-08-19,Social,Mobile,8,False,False
S000262,C04207,2026-03-09,Social,Mobile,8,False,False
S000263,C02009,2026-05-31,Email,Mobile,4,True,False
S000264,C04739,2024-10-30,Organic,Desktop,3,False,False
S000265,C04327,2026-02-11,Social,Desktop,1,True,False
S000266,C02941,2025-06-11,Paid Search,Mobile,3,False,False
S000267,C04876,2025-08-03,Organic,Desktop,5,True,False
S000268,C03282,2024-07-10,Email,Mobile,3,True,False
S000269,C03924,2024-12-11,Social,Mobile,7,False,True
S000270,C04896,2026-03-31,Paid Search,Desktop,5,True,False
S000271,C01141,2025-04-27,Email,Mobile,3,True,False
S000272,C03427,2025-04-23,Paid Search,Mobile,7,False,False
S000273,C02138,2026-03-05,Organic,Mobile,7,True,False
S000274,C02114,2026-03-26,Social,Mobile,4,False,False
S000275,C03452,2024-07-26,Social,Desktop,5,True,False
S000276,C02915,2025-11-18,Referral,Desktop,5,True,False
S000277,C01947,2026-05-08,Referral,Desktop,6,True,False
S000278,C02327,2024-12-22,Social,Mobile,4,True,False
S000279,C00576,2026-02-19,Paid Search,Mobile,5,True,False
S000280,C00016,2026-05-23,Referral,Mobile,9,True,False
S000281,C01825,2026-04-12,Organic,Mobile,13,False,False
S000282,C04152,2024-10-25,Paid Search,Mobile,6,False,False
S000283,C02176,2025-07-02,Organic,Desktop,8,True,False
S000284,C03734,2024-07-20,Social,Desktop,9,True,False
S000285,C01537,2026-06-01,Social,Mobile,3,False,True
S000286,C01869,2026-01-29,Referral,Mobile,8,True,False
S000287,C02628,2026-02-02,Referral,Mobile,6,True,True
S000288,C03092,2024-12-15,Paid Search,Mobile,4,False,True
S000289,C01585,2025-10-30,Referral,Mobile,3,False,False
S000290,C03456,2025-07-17,Email,Mobile,7,False,False
S000291,C02557,2026-01-31,Referral,Mobile,4,True,True
S000292,C02100,2025-04-21,Email,Desktop,3,False,False
S000293,C03367,2026-05-04,Referral,Mobile,5,False,False
S000294,C01927,2025-07-08,Paid Search,Mobile,5,False,False
S000295,C01448,2024-09-12,Social,Desktop,7,False,False
S000296,C00015,2025-11-06,Social,Mobile,6,False,False
S000297,C01328,2025-10-18,Social,Mobile,7,False,True
S000298,C04711,2024-11-07,Organic,Mobile,5,False,False
S000299,C03746,2026-05-04,Paid Search,Tablet,5,False,False
S000300,C02898,2024-10-24,Social,Mobile,9,False,False
S000301,C04612,2024-07-29,Organic,Tablet,4,False,False
S000302,C01898,2026-05-22,Organic,Mobile,6,False,False
S000303,C01274,2024-07-30,Email,Mobile,5,False,False
S000304,C00325,2024-10-17,Social,Desktop,3,True,False
S000305,C03869,2024-08-14,Organic,Desktop,6,False,False
S000306,C03118,2025-03-12,Organic,Mobile,5,True,False
S000307,C01708,2025-06-19,Paid Search,Mobile,4,False,False
S000308,C04711,2025-03-18,Paid Search,Desktop,5,False,False
S000309,C01057,2024-11-18,Social,Mobile,4,True,False
S000310,C00733,2024-11-10,Referral,Desktop,7,False,False
S000311,C01190,2025-05-15,Organic,Tablet,5,True,False
S000312,C04541,2025-08-24,Email,Mobile,11,False,False
S000313,C04956,2026-01-19,Paid Search,Desktop,5,False,False
S000314,C04619,2026-06-06,Email,Desktop,6,False,False
S000315,C01950,2026-04-01,Referral,Mobile,5,False,False
S000316,C01593,2024-12-30,Email,Mobile,4,False,False
S000317,C02113,2025-07-30,Social,Mobile,7,False,False
S000318,C01319,2024-08-15,Organic,Mobile,4,True,False
S000319,C00797,2025-06-21,Social,Mobile,6,False,False
S000320,C00597,2025-05-05,Referral,Desktop,6,False,False
S000321,C04359,2025-07-30,Social,Desktop,6,False,False
S000322,C01628,2024-09-21,Paid Search,Mobile,5,True,False
S000323,C02276,2025-05-19,Paid Search,Desktop,3,False,False
S000324,C01142,2024-11-15,Referral,Tablet,5,False,True
S000325,C02942,2026-03-06,Email,Desktop,8,False,False
S000326,C01389,2025-08-26,Referral,Mobile,5,False,False
S000327,C02516,2025-06-18,Organic,Mobile,2,True,False
S000328,C01260,2026-05-19,Organic,Mobile,5,False,True
S000329,C03163,2024-12-13,Organic,Mobile,7,False,False
S000330,C03601,2025-01-24,Social,Mobile,5,False,False
S000331,C01980,2024-12-15,Social,Mobile,5,False,False
S000332,C01756,2025-06-19,Social,Mobile,6,False,False
S000333,C04461,2026-06-26,Paid Search,Desktop,6,False,False
S000334,C03991,2026-04-16,Organic,Mobile,8,False,True
S000335,C03883,2025-06-09,Paid Search,Mobile,8,False,False
S000336,C03932,2024-07-28,Social,Desktop,6,False,False
S000337,C04407,2025-01-24,Paid Search,Desktop,7,False,False
S000338,C01447,2024-08-03,Paid Search,Mobile,3,False,False
S000339,C03379,2025-10-27,Organic,Desktop,4,False,False
S000340,C03417,2025-12-23,Paid Search,Mobile,4,False,False
S000341,C02872,2025-10-20,Social,Mobile,4,False,True
S000342,C00231,2025-05-03,Social,Mobile,7,False,False
S000343,C03086,2024-10-18,Referral,Desktop,5,True,False
S000344,C02651,2025-04-16,Referral,Desktop,7,False,False
S000345,C04267,2025-02-03,Email,Desktop,5,True,False
S000346,C03021,2025-07-20,Email,Mobile,4,False,True
S000347,C02273,2026-06-06,Referral,Mobile,4,False,False
S000348,C00891,2025-03-19,Email,Mobile,2,True,False
S000349,C00917,2024-08-25,Organic,Mobile,3,True,False
S000350,C03343,2025-01-20,Referral,Tablet,4,False,False
S000351,C01864,2025-08-28,Email,Mobile,11,True,False
S000352,C04979,2025-10-12,Referral,Mobile,6,True,False
S000353,C04009,2025-10-03,Organic,Mobile,3,False,False
S000354,C04551,2024-11-11,Paid Search,Mobile,6,True,False
S000355,C02818,2024-10-25,Social,Mobile,5,True,False
S000356,C02828,2025-04-03,Social,Mobile,7,False,False
S000357,C04109,2024-09-17,Social,Tablet,2,False,False
S000358,C03342,2024-10-19,Organic,Mobile,4,False,False
S000359,C00355,2024-11-20,Social,Mobile,7,True,False
S000360,C04000,2025-06-17,Paid Search,Mobile,5,True,False
S000361,C02080,2024-09-25,Organic,Mobile,5,False,False
S000362,C00344,2025-01-24,Paid Search,Mobile,7,False,False
S000363,C04823,2026-02-10,Email,Mobile,9,False,True
S000364,C04761,2025-11-17,Referral,Mobile,7,False,False
S000365,C04437,2026-05-04,Organic,Desktop,7,True,False
S000366,C01014,2024-07-02,Paid Search,Desktop,6,False,False
S000367,C01450,2025-11-24,Referral,Mobile,10,False,False
S000368,C00451,2026-02-03,Organic,Mobile,8,False,False
S000369,C00931,2025-12-25,Organic,Desktop,7,False,False
S000370,C04468,2024-12-26,Paid Search,Mobile,6,False,False
S000371,C00524,2024-08-31,Organic,Desktop,7,True,False
S000372,C02866,2024-10-06,Email,Desktop,7,False,False
S000373,C01061,2024-12-26,Referral,Tablet,9,False,False
S000374,C00304,2026-02-16,Paid Search,Desktop,3,False,False
S000375,C02579,2025-03-29,Organic,Mobile,7,False,False
S000376,C03415,2026-01-24,Organic,Desktop,4,False,False
S000377,C00614,2024-10-15,Referral,Tablet,7,False,False
S000378,C01320,2026-02-25,Paid Search,Mobile,3,False,False
S000379,C01813,2026-04-01,Referral,Mobile,5,False,False
S000380,C04030,2025-09-04,Paid Search,Mobile,7,False,False
S000381,C00878,2025-01-04,Paid Search,Desktop,8,False,False
S000382,C04130,2025-08-01,Organic,Tablet,4,True,False
S000383,C01374,2025-03-23,Email,Mobile,7,False,False
S000384,C01331,2025-04-16,Email,Mobile,11,False,False
S000385,C02145,2024-08-10,Paid Search,Mobile,3,True,False
S000386,C04129,2025-01-13,Social,Mobile,5,True,False
S000387,C04645,2026-03-17,Social,Mobile,7,False,False
S000388,C04873,2025-11-11,Paid Search,Mobile,9,True,True
S000389,C01163,2024-07-24,Social,Desktop,4,False,False
S000390,C01644,2025-07-22,Organic,Mobile,9,False,True
S000391,C01134,2025-10-03,Email,Mobile,10,False,True
S000392,C03766,2026-05-25,Referral,Desktop,4,False,False
S000393,C03986,2025-11-03,Organic,Mobile,10,True,False
S000394,C04409,2026-06-28,Paid Search,Mobile,10,False,False
S000395,C04510,2025-06-05,Social,Desktop,9,False,False
S000396,C03021,2026-02-17,Referral,Desktop,4,True,False
S000397,C00173,2024-12-08,Organic,Mobile,5,False,False
S000398,C04539,2026-05-11,Paid Search,Mobile,1,False,False
S000399,C03707,2024-12-03,Organic,Desktop,10,False,False
S000400,C00263,2025-10-12,Social,Mobile,8,True,False
S000401,C02479,2025-01-22,Referral,Desktop,6,True,False
S000402,C01523,2026-01-03,Social,Mobile,9,False,False
S000403,C02287,2025-05-11,Social,Mobile,7,False,False
S000404,C01806,2025-05-23,Email,Mobile,6,False,False
S000405,C02624,2026-03-23,Organic,Desktop,9,True,False
S000406,C03937,2026-04-16,Social,Mobile,4,False,False
S000407,C04677,2024-09-20,Paid Search,Desktop,12,False,False
S000408,C03410,2026-01-20,Social,Mobile,3,False,False
S000409,C03298,2026-03-25,Email,Mobile,5,False,False
S000410,C01207,2025-12-27,Paid Search,Desktop,3,False,False
S000411,C01645,2024-08-01,Referral,Tablet,6,True,False
S000412,C04901,2026-05-02,Social,Mobile,5,False,False
S000413,C00474,2024-12-09,Social,Mobile,5,False,True
S000414,C03573,2026-01-06,Organic,Desktop,7,False,False
S000415,C00143,2025-10-31,Organic,Mobile,3,False,False
S000416,C00565,2025-04-28,Social,Mobile,7,False,False
S000417,C02769,2025-03-29,Paid Search,Desktop,8,True,False
S000418,C00106,2024-07-04,Email,Desktop,3,False,False
S000419,C03551,2026-04-04,Organic,Desktop,7,False,False
S000420,C03485,2025-05-04,Paid Search,Mobile,6,False,False
S000421,C00944,2026-02-28,Referral,Desktop,6,True,False
S000422,C01243,2026-01-25,Organic,Mobile,5,True,False
S000423,C04803,2024-12-23,Paid Search,Desktop,10,True,False
S000424,C04493,2026-03-18,Social,Desktop,9,False,True
S000425,C01054,2025-04-22,Referral,Tablet,7,False,False
S000426,C04987,2026-04-16,Social,Desktop,7,True,False
S000427,C02509,2026-05-10,Email,Mobile,6,False,False
S000428,C01558,2024-11-12,Organic,Mobile,7,False,False
S000429,C01737,2025-11-05,Email,Mobile,6,False,True
S000430,C03761,2024-10-16,Organic,Mobile,9,False,False
S000431,C04236,2025-06-22,Organic,Mobile,4,False,False
S000432,C04924,2026-05-06,Paid Search,Mobile,10,False,False
S000433,C03404,2026-06-03,Email,Tablet,9,False,False
S000434,C01329,2025-10-07,Organic,Tablet,5,False,False
S000435,C02866,2025-09-19,Referral,Tablet,12,False,False
S000436,C00102,2025-08-24,Organic,Mobile,7,False,True
S000437,C04326,2026-05-15,Referral,Desktop,9,False,False
S000438,C00122,2026-05-15,Email,Desktop,6,False,False
S000439,C01966,2024-12-27,Email,Mobile,6,False,False
S000440,C02245,2025-10-05,Social,Mobile,6,False,False
S000441,C03363,2025-02-17,Email,Mobile,6,True,False
S000442,C00600,2026-02-11,Social,Desktop,4,False,False
S000443,C02250,2024-10-19,Email,Desktop,8,True,False
S000444,C00542,2024-11-23,Paid Search,Mobile,6,False,False
S000445,C04216,2025-03-11,Email,Mobile,3,False,False
S000446,C02762,2025-02-16,Email,Mobile,14,False,False
S000447,C02516,2024-11-10,Organic,Mobile,6,False,False
S000448,C00521,2024-09-30,Referral,Desktop,7,False,False
S000449,C04226,2026-04-30,Social,Mobile,8,False,False
S000450,C04803,2025-11-23,Referral,Tablet,5,False,False
S000451,C00056,2025-11-19,Organic,Mobile,6,True,True
S000452,C01827,2025-05-20,Social,Mobile,7,False,False
S000453,C02148,2025-03-25,Social,Mobile,11,False,False
S000454,C04523,2026-06-26,Referral,Mobile,5,True,False
S000455,C01836,2026-05-27,Referral,Mobile,6,False,False
S000456,C01846,2026-03-05,Social,Mobile,8,False,False
S000457,C00716,2026-02-14,Organic,Mobile,7,False,False
S000458,C01408,2025-01-04,Social,Mobile,5,False,True
S000459,C03576,2026-01-09,Referral,Desktop,8,False,False
S000460,C04059,2025-10-03,Paid Search,Mobile,5,False,False
S000461,C04414,2025-02-20,Paid Search,Mobile,5,False,False
S000462,C00216,2024-07-14,Referral,Desktop,5,False,False
S000463,C00185,2024-08-05,Referral,Mobile,3,False,False
