order_item_id,order_id,product_id,quantity,unit_price,discount_amount
I0000194,O002687,P0224,3,307.95,8
I0000195,O017357,P0141,1,120.83,15
I0000196,O010130,P0221,1,369.42,8
I0000197,O015977,P0494,1,218.03,8
I0000198,O004544,P0476,1,341.63,3
I0000199,O007942,P0098,1,66.95,0
I0000200,O008772,P0187,1,439.71,0
I0000201,O011721,P0180,1,309.09,3
I0000202,O011596,P0439,1,187.74,8
I0000203,O009390,P0067,1,466.33,0
I0000204,O007731,P0063,2,109.15,0
I0000205,O007666,P0037,1,397.62,0
I0000206,O010252,P0079,1,167.68,3
I0000207,O015953,P0080,1,155.59,3
I0000208,O018253,P0378,1,220.51,8
I0000209,O013023,P0115,1,188.54,0
I0000210,O018089,P0497,1,174.25,8
I0000211,O009819,P0291,4,343.26,0
I0000212,O011622,P0438,1,247.17,0
I0000213,O018064,P0037,1,397.62,3
I0000214,O004738,P0349,1,182.88,3
I0000215,O005224,P0041,1,176.33,0
I0000216,O000644,P0281,1,437.46,3
I0000217,O017082,P0310,2,204.28,3
I0000218,O009614,P0113,1,289.96,0
I0000219,O012519,P0280,1,464.08,0
I0000220,O009691,P0382,2,344.92,8
I0000221,O006353,P0212,1,152.97,0
I0000222,O004016,P0113,2,289.96,8
I0000223,O007377,P0459,2,385.86,8
I0000224,O003585,P0034,1,375.79,0
I0000225,O010010,P0497,2,174.25,0
I0000226,O008072,P0231,1,184.67,0
I0000227,O016772,P0161,1,304.35,0
I0000228,O015112,P0027,1,348.18,0
I0000229,O006713,P0211,1,209.34,3
I0000230,O018303,P0465,2,429.28,0
I0000231,O014118,P0182,1,266.38,8
I0000232,O003071,P0440,1,210.08,0
I0000233,O005531,P0469,1,86.82,0
I0000234,O017051,P0152,1,218.04,15
I0000235,O005789,P0185,1,297.98,8
I0000236,O006393,P0166,1,136.68,3
I0000237,O006874,P0231,2,184.67,0
I0000238,O013016,P0494,1,218.03,0
I0000239,O009735,P0478,1,241.63,0
I0000240,O015109,P0312,3,195.45,0
I0000241,O000076,P0374,3,197.73,8
I0000242,O005304,P0481,1,79.42,0
I0000243,O017608,P0079,3,167.68,0
I0000244,O013994,P0353,1,323.12,3
I0000245,O002855,P0443,2,232.71,0
I0000246,O006357,P0331,1,373.2,0
I0000247,O009074,P0284,1,165.77,3
I0000248,O000942,P0455,1,212.67,0
I0000249,O014172,P0233,1,331.25,3
I0000250,O009159,P0355,2,148.36,0
I0000251,O008948,P0487,1,335.5,0
I0000252,O008819,P0251,1,383.39,8
I0000253,O001264,P0423,1,312.34,3
I0000254,O004534,P0367,2,286.46,8
I0000255,O006968,P0186,1,103.65,0
I0000256,O004403,P0407,2,163.94,0
I0000257,O012471,P0192,1,58.84,0
I0000258,O011677,P0051,1,187.04,0
I0000259,O018801,P0169,1,81.91,3
I0000260,O007331,P0133,1,296.61,8
I0000261,O002702,P0276,1,134.79,0
I0000262,O001700,P0488,1,162.57,0
I0000263,O004994,P0074,2,177.76,8
I0000264,O018481,P0165,1,246.0,0
I0000265,O019099,P0215,2,238.92,8
I0000266,O016470,P0065,1,336.07,0
I0000267,O001374,P0001,1,97.85,0
I0000268,O014204,P0169,1,81.91,3
I0000269,O019965,P0465,2,429.28,0
I0000270,O019860,P0222,3,409.67,3
I0000271,O013546,P0049,2,172.56,8
I0000272,O006256,P0022,1,148.35,0
I0000273,O004250,P0286,1,155.26,0
I0000274,O012135,P0274,1,267.39,0
I0000275,O014018,P0150,1,360.59,3
I0000276,O011422,P0098,1,66.95,3
I0000277,O005595,P0091,1,360.54,0
I0000278,O000727,P0131,1,76.45,0
I0000279,O014342,P0002,3,266.8,3
I0000280,O016812,P0460,2,243.03,8
I0000281,O004896,P0204,1,435.98,3
I0000282,O002262,P0241,1,431.05,0
I0000283,O003288,P0187,2,439.71,0
I0000284,O018879,P0395,2,195.32,0
I0000285,O004383,P0090,1,183.72,3
I0000286,O002033,P0431,1,325.36,3
I0000287,O008106,P0101,2,375.15,0
I0000288,O017642,P0257,1,160.03,15
I0000289,O005360,P0010,2,335.89,3
I0000290,O009766,P0092,1,177.8,0
I0000291,O017629,P0014,1,222.09,0
I0000292,O002143,P0135,1,139.13,0
I0000293,O017519,P0301,1,169.21,3
I0000294,O015364,P0425,3,23.03,3
I0000295,O014885,P0343,1,121.01,0
I0000296,O015595,P0195,4,187.27,0
I0000297,O000713,P0194,1,399.13,8
I0000298,O011944,P0140,1,58.07,8
I0000299,O003254,P0152,3,218.04,8
I0000300,O013664,P0150,2,360.59,0
I0000301,O015677,P0043,1,171.05,0
I0000302,O007057,P0416,2,218.0,8
I0000303,O018601,P0377,2,116.64,3
I0000304,O008272,P0016,1,188.45,0
I0000305,O001997,P0183,1,287.74,0
I0000306,O010365,P0044,1,469.56,8
I0000307,O001782,P0003,2,108.11,0
I0000308,O005931,P0142,3,216.88,0
I0000309,O014711,P0430,1,450.51,0
I0000310,O011030,P0285,1,43.59,0
I0000311,O006554,P0263,1,119.43,0
I0000312,O014356,P0287,1,390.56,15
I0000313,O009794,P0483,1,443.69,3
I0000314,O007514,P0343,1,121.01,3
I0000315,O002409,P0049,1,172.56,15
I0000316,O015981,P0270,1,200.75,0
I0000317,O016374,P0207,2,211.49,8
I0000318,O015320,P0397,1,430.04,0
I0000319,O017099,P0080,1,155.59,0
I0000320,O001743,P0372,1,116.89,0
I0000321,O005894,P0105,1,69.19,0
I0000322,O000595,P0165,2,246.0,0
I0000323,O001627,P0222,3,409.67,0
I0000324,O019080,P0186,1,103.65,8
I0000325,O014796,P0403,1,120.18,0
I0000326,O002249,P0148,3,434.8,0
I0000327,O015547,P0098,1,66.95,3
I0000328,O012163,P0428,2,394.1,0
I0000329,O009994,P0460,3,243.03,8
I0000330,O014556,P0254,1,323.55,0
I0000331,O017484,P0370,2,157.25,8
I0000332,O016372,P0330,1,201.31,0
I0000333,O014791,P0232,1,222.63,0
I0000334,O012595,P0375,2,167.15,3
I0000335,O014366,P0242,1,153.07,0
I0000336,O005723,P0110,2,294.08,3
I0000337,O011596,P0242,1,153.07,0
I0000338,O009877,P0391,1,114.19,0
I0000339,O018390,P0228,1,348.78,3
I0000340,O012395,P0350,1,443.6,0
I0000341,O011521,P0344,1,94.85,8
I0000342,O019826,P0000,1,134.63,0
I0000343,O014838,P0040,1,239.08,3
I0000344,O014708,P0470,1,451.23,8
I0000345,O013312,P0204,1,435.98,0
I0000346,O005411,P0110,2,294.08,15
I0000347,O007939,P0252,2,345.56,3
I0000348,O004520,P0444,3,240.01,3
I0000349,O011065,P0221,2,369.42,0
I0000350,O000384,P0403,1,120.18,0
I0000351,O004254,P0242,1,153.07,0
I0000352,O010933,P0320,1,368.8,3
I0000353,O019261,P0209,1,255.45,0
I0000354,O003008,P0113,2,289.96,8
I0000355,O002544,P0492,1,220.74,0
I0000356,O002263,P0361,3,333.06,0
I0000357,O008909,P0179,1,250.49,0
I0000358,O002058,P0340,1,170.95,0
I0000359,O000990,P0382,1,344.92,0
I0000360,O010806,P0260,1,280.38,0
I0000361,O003278,P0338,1,97.38,3
I0000362,O002425,P0199,1,198.7,0
I0000363,O010444,P0471,1,383.31,0
I0000364,O008529,P0050,1,354.55,8
I0000365,O009282,P0410,3,282.02,3
I0000366,O003105,P0157,1,224.52,0
I0000367,O018539,P0332,1,216.32,0
I0000368,O011314,P0113,3,289.96,0
I0000369,O011497,P0360,1,285.43,3
I0000370,O012559,P0337,2,199.74,0
I0000371,O010150,P0087,1,336.76,0
I0000372,O018564,P0214,1,377.66,0
I0000373,O005661,P0342,1,213.28,0
I0000374,O014822,P0216,2,206.46,8
I0000375,O011366,P0362,1,203.65,0
I0000376,O017098,P0091,1,360.54,0
I0000377,O011467,P0337,1,199.74,8
I0000378,O018794,P0142,1,216.88,15
I0000379,O017744,P0129,1,434.1,0
I0000380,O004932,P0075,1,318.63,0
I0000381,O017903,P0239,3,194.89,3
I0000382,O008445,P0025,1,148.03,0
I0000383,O008301,P0073,2,215.59,3
I0000384,O019933,P0451,1,337.56,0
I0000385,O007395,P0401,1,378.26,8
I0000386,O006194,P0476,3,341.63,0
I0000387,O015233,P0469,1,86.82,8
I0000388,O003740,P0296,1,70.69,0
I0000389,O001549,P0115,1,188.54,0
I0000390,O012478,P0116,1,475.17,0
I0000391,O004522,P0210,1,139.13,3
I0000392,O014824,P0292,1,359.66,3
I0000393,O005696,P0012,1,295.57,0
I0000394,O005981,P0332,1,216.32,0
I0000395,O010782,P0020,1,204.77,0
I0000396,O010609,P0069,1,86.28,15
I0000397,O003597,P0441,2,164.92,3
I0000398,O016286,P0136,1,457.12,3
I0000399,O004650,P0142,3,216.88,0
I0000400,O001977,P0163,2,223.42,0
I0000401,O002337,P0172,1,334.17,0
I0000402,O018765,P0324,1,281.09,0
I0000403,O009645,P0244,1,165.69,0
I0000404,O003377,P0052,1,108.22,3
I0000405,O011273,P0470,2,451.23,0
I0000406,O001794,P0499,1,179.59,0
I0000407,O000650,P0399,1,195.68,0
I0000408,O013092,P0038,1,188.41,0
I0000409,O001954,P0398,1,191.82,0
I0000410,O006813,P0490,1,369.06,0
I0000411,O017412,P0003,1,108.11,3
I0000412,O011621,P0017,1,216.64,0
I0000413,O012930,P0206,1,362.12,0
I0000414,O007202,P0155,1,350.02,8
I0000415,O019899,P0051,1,187.04,3
I0000416,O007394,P0201,2,447.72,0
I0000417,O008882,P0172,2,334.17,0
I0000418,O003308,P0451,1,337.56,0
I0000419,O003926,P0005,1,176.21,0
I0000420,O002588,P0113,1,289.96,0
I0000421,O015608,P0110,1,294.08,0
I0000422,O013091,P0054,3,361.07,15
I0000423,O004846,P0480,4,431.95,0
I0000424,O013019,P0318,3,391.58,8
I0000425,O009350,P0238,1,275.44,0
I0000426,O002442,P0300,1,327.96,0
I0000427,O009382,P0383,1,83.46,8
I0000428,O014994,P0164,1,108.05,0
I0000429,O017448,P0006,1,241.76,0
I0000430,O011457,P0250,1,181.47,15
I0000431,O007885,P0383,1,83.46,0
I0000432,O004607,P0094,1,355.34,0
I0000433,O015519,P0254,1,323.55,3
I0000434,O014652,P0333,1,478.02,3
I0000435,O014526,P0307,2,118.43,0
I0000436,O016934,P0099,1,163.59,0
I0000437,O017287,P0065,1,336.07,3
I0000438,O003314,P0073,2,215.59,8
I0000439,O010881,P0269,4,158.53,0
I0000440,O009007,P0467,2,85.65,0
I0000441,O009107,P0360,1,285.43,8
I0000442,O005000,P0350,3,443.6,0
I0000443,O008378,P0297,1,391.2,0
I0000444,O005911,P0255,1,323.06,3
I0000445,O006087,P0179,1,250.49,0
I0000446,O008382,P0115,2,188.54,0
I0000447,O018139,P0331,1,373.2,8
I0000448,O008623,P0028,1,94.72,0
I0000449,O013296,P0484,1,444.25,3
I0000450,O019167,P0264,2,198.23,3
I0000451,O009260,P0011,1,368.06,0
I0000452,O001114,P0126,2,328.46,3
I0000453,O004095,P0226,1,449.61,0
I0000454,O000350,P0266,1,345.73,0
I0000455,O006546,P0337,2,199.74,0
I0000456,O007818,P0004,1,418.64,0
I0000457,O015833,P0024,1,181.29,0
I0000458,O017532,P0334,2,216.0,0
I0000459,O015457,P0117,1,256.3,0
I0000460,O008183,P0414,1,181.23,0
I0000461,O014664,P0433,1,250.85,0
I0000462,O006422,P0422,2,209.48,8
I0000463,O018420,P0383,1,83.46,15
I0000464,O014305,P0144,1,176.32,0
I0000465,O006763,P0026,1,162.91,0
I0000466,O001998,P0407,1,163.94,0
I0000467,O013199,P0115,2,188.54,8
I0000468,O003157,P0230,2,310.08,0
I0000469,O006312,P0489,4,40.59,0
I0000470,O003331,P0265,4,367.63,0
I0000471,O018992,P0259,1,461.3,0
I0000472,O008496,P0488,1,162.57,0
I0000473,O012671,P0030,1,59.36,0
I0000474,O016703,P0237,1,114.49,0
I0000475,O016444,P0390,4,144.56,0
I0000476,O008026,P0447,1,326.76,0
I0000477,O001147,P0305,1,404.29,3
I0000478,O003351,P0373,1,286.86,8
I0000479,O015695,P0365,3,164.36,0
I0000480,O013600,P0494,4,218.03,0
I0000481,O014439,P0031,1,201.39,0
I0000482,O002740,P0063,1,109.15,3
I0000483,O001045,P0245,1,337.63,0
I0000484,O012505,P0283,1,418.39,15
I0000485,O011648,P0124,3,27.34,0
I0000486,O003934,P0244,1,165.69,0
I0000487,O004773,P0186,1,103.65,8
I0000488,O017950,P0272,2,444.3,0
I0000489,O019503,P0291,1,343.26,0
I0000490,O003915,P0335,2,150.82,0
I0000491,O018357,P0289,1,123.92,15
I0000492,O001857,P0339,1,86.65,0
I0000493,O005996,P0265,1,367.63,0
I0000494,O015387,P0291,3,343.26,0
I0000495,O007499,P0466,1,246.51,0
I0000496,O013339,P0206,1,362.12,0
I0000497,O004925,P0157,1,224.52,0
I0000498,O005445,P0350,1,443.6,3
I0000499,O009931,P0305,2,404.29,0
I0000500,O011424,P0277,1,149.12,0
I0000501,O019933,P0244,2,165.69,8
I0000502,O019455,P0356,2,380.69,0
I0000503,O003729,P0346,4,97.24,0
I0000504,O007624,P0293,1,265.03,8
I0000505,O019103,P0072,1,394.54,8
I0000506,O004372,P0128,1,446.38,0
I0000507,O000751,P0485,2,157.69,3
I0000508,O001845,P0025,1,148.03,3
I0000509,O015498,P0220,1,218.82,3
I0000510,O007100,P0414,3,181.23,3
I0000511,O016570,P0383,1,83.46,3
I0000512,O013964,P0451,1,337.56,8
I0000513,O005454,P0301,1,169.21,3
I0000514,O006026,P0105,1,69.19,0
I0000515,O014425,P0252,2,345.56,0
I0000516,O000597,P0306,1,305.2,8
I0000517,O010945,P0237,1,114.49,0
I0000518,O016202,P0094,2,355.34,8
I0000519,O014914,P0374,2,197.73,3
I0000520,O006854,P0092,1,177.8,0
I0000521,O008530,P0235,1,175.5,8
I0000522,O002766,P0040,1,239.08,3
I0000523,O019319,P0489,2,40.59,0
I0000524,O008523,P0176,1,450.55,8
I0000525,O011238,P0188,1,113.07,0
I0000526,O008010,P0079,1,167.68,0
I0000527,O019245,P0183,1,287.74,8
I0000528,O018768,P0459,1,385.86,0
I0000529,O019439,P0074,1,177.76,3
I0000530,O004782,P0360,1,285.43,0
I0000531,O011210,P0170,1,441.31,0
I0000532,O012454,P0482,3,429.55,0
I0000533,O016677,P0071,1,292.71,0
I0000534,O009057,P0039,2,416.77,0
I0000535,O016460,P0152,2,218.04,0
I0000536,O000826,P0403,1,120.18,0
I0000537,O006031,P0427,1,103.26,0
I0000538,O000184,P0016,1,188.45,0
I0000539,O010628,P0140,1,58.07,0
I0000540,O009545,P0056,1,296.98,0
I0000541,O000292,P0269,1,158.53,0
I0000542,O010207,P0144,1,176.32,3
I0000543,O006420,P0047,1,171.4,0
I0000544,O002611,P0268,1,318.21,3
I0000545,O008802,P0449,1,207.8,0
I0000546,O009150,P0468,1,96.27,8
I0000547,O015559,P0401,1,378.26,0
I0000548,O019107,P0353,1,323.12,8
I0000549,O009860,P0484,2,444.25,0
I0000550,O014408,P0404,1,424.83,0
I0000551,O015319,P0318,1,391.58,0
I0000552,O000973,P0093,1,292.55,0
I0000553,O004097,P0161,1,304.35,3
I0000554,O004071,P0148,2,434.8,0
I0000555,O014446,P0119,1,174.7,15
I0000556,O006608,P0486,1,148.28,0
I0000557,O017013,P0165,1,246.0,15
I0000558,O001417,P0452,2,454.35,3
I0000559,O004822,P0375,2,167.15,3
I0000560,O009819,P0202,2,309.13,0
I0000561,O016454,P0173,1,191.95,15
I0000562,O014177,P0345,1,45.3,3
I0000563,O012151,P0131,1,76.45,0
I0000564,O009584,P0215,1,238.92,0
I0000565,O009360,P0327,2,111.98,8
I0000566,O009789,P0249,1,271.83,0
I0000567,O013700,P0425,2,23.03,3
I0000568,O011984,P0204,2,435.98,0
I0000569,O014368,P0347,2,160.16,8
I0000570,O002546,P0395,2,195.32,0
I0000571,O012945,P0440,1,210.08,8
I0000572,O018878,P0349,1,182.88,0
I0000573,O012538,P0324,2,281.09,8
I0000574,O014019,P0068,2,175.93,3
I0000575,O008181,P0097,1,356.09,8
I0000576,O014885,P0010,1,335.89,0
I0000577,O014207,P0321,1,297.99,0
I0000578,O018725,P0189,2,173.89,8
I0000579,O004755,P0270,1,200.75,0
I0000580,O016036,P0385,1,381.42,0
I0000581,O002043,P0032,1,452.5,15
I0000582,O001130,P0335,1,150.82,0
I0000583,O018392,P0301,1,169.21,0
I0000584,O015754,P0205,3,447.33,0
I0000585,O015590,P0084,1,143.42,0
I0000586,O012093,P0026,1,162.91,0
I0000587,O010899,P0121,1,204.26,3
I0000588,O008235,P0023,1,191.23,0
I0000589,O015640,P0411,1,168.06,8
I0000590,O015779,P0475,1,340.62,0
I0000591,O001644,P0029,1,135.48,8
I0000592,O003940,P0132,2,158.16,0
I0000593,O008110,P0000,2,134.63,0
I0000594,O016273,P0266,1,345.73,0
I0000595,O003537,P0325,1,251.01,0
I0000596,O009466,P0058,1,206.4,0
I0000597,O013167,P0475,1,340.62,8
I0000598,O015392,P0305,1,404.29,0
I0000599,O015227,P0003,1,108.11,3
I0000600,O016438,P0318,2,391.58,3
I0000601,O007804,P0107,1,145.95,8
I0000602,O009964,P0159,1,303.58,3
I0000603,O004763,P0260,1,280.38,0
I0000604,O000266,P0001,1,97.85,3
I0000605,O006226,P0494,1,218.03,0
I0000606,O001547,P0311,1,354.81,0
I0000607,O011316,P0250,1,181.47,3
I0000608,O009626,P0019,1,330.07,0
I0000609,O000903,P0281,2,437.46,0
I0000610,O011487,P0171,1,209.16,0
I0000611,O002287,P0302,3,222.85,0
I0000612,O006312,P0169,1,81.91,0
I0000613,O019636,P0050,1,354.55,0
I0000614,O010279,P0054,1,361.07,0
I0000615,O003970,P0463,1,263.26,0
I0000616,O000060,P0284,1,165.77,3
I0000617,O010776,P0324,1,281.09,0
I0000618,O019271,P0279,1,151.48,3
I0000619,O017910,P0098,1,66.95,0
I0000620,O016971,P0040,1,239.08,3
I0000621,O017550,P0053,1,246.24,0
I0000622,O009399,P0031,1,201.39,0
I0000623,O000474,P0339,1,86.65,8
I0000624,O008636,P0076,1,202.01,8
I0000625,O004838,P0456,1,267.86,3
I0000626,O005500,P0452,1,454.35,15
I0000627,O004264,P0211,1,209.34,8
I0000628,O010885,P0350,2,443.6,3
I0000629,O015091,P0011,1,368.06,8
I0000630,O011833,P0469,2,86.82,0
I0000631,O000649,P0396,1,182.46,0
I0000632,O013357,P0460,1,243.03,3
I0000633,O001681,P0363,1,427.8,0
I0000634,O017447,P0320,2,368.8,3
I0000635,O007974,P0152,1,218.04,15
I0000636,O012372,P0331,1,373.2,0
I0000637,O014837,P0124,2,27.34,0
I0000638,O007284,P0004,1,418.64,0
I0000639,O017109,P0286,1,155.26,8
I0000640,O015779,P0439,1,187.74,0
I0000641,O001752,P0388,1,284.63,8
I0000642,O012351,P0377,1,116.64,15
I0000643,O016103,P0471,3,383.31,0
I0000644,O016356,P0236,1,420.67,0
I0000645,O000100,P0153,1,45.62,0
I0000646,O016126,P0482,3,429.55,3
I0000647,O016575,P0352,1,90.81,0
I0000648,O012197,P0235,1,175.5,0
I0000649,O003096,P0430,1,450.51,3
I0000650,O004740,P0165,3,246.0,0
I0000651,O008482,P0310,1,204.28,8
I0000652,O015835,P0117,4,256.3,0
I0000653,O002604,P0480,2,431.95,0
I0000654,O017728,P0453,4,137.9,8
I0000655,O004054,P0237,1,114.49,3
I0000656,O010618,P0098,2,66.95,8
I0000657,O014657,P0014,1,222.09,0
I0000658,O005126,P0487,2,335.5,0
I0000659,O017261,P0221,1,369.42,0
I0000660,O010805,P0331,1,373.2,0
I0000661,O014508,P0047,1,171.4,0
I0000662,O019035,P0307,3,118.43,0
